id,actual_url,country_region,rest_name,is_claimed,rating,last_review,address,latitude,longitude,popularity_top,popularity_detailed,price_range_and_top_tags,n_reviews,travellers_choice,michelin,price_range,cuisines,meal_types,special_diets,features,working_hours,telephone,website,food_rating,service_rating,value_rating,atmosphere_rating,traveller_rating_5,traveller_rating_4,traveller_rating_3,traveller_rating_2,traveller_rating_1,all_languages,selected_language
g1009332-d16856986,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d16856986-Reviews-Sportklub_Kvasnicnik-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Sportklub Kvasnicnik']",Sportklub Kvasnicnik, Unclaimed,1.5,"January 28, 2020","Demanovska Dolina 328, Demanovska Dolina 031 01 Slovakia",49.02429,19.57245,#21 of 21 Restaurants in Demanovska Dolina,#21 of 21 Restaurants in Demanovska Dolina,,(2),,,,,[],,[],+ Add hours,tel:+421 905 389 510,"https://www.jasnavj.sk/sk/sportklub-kvasnicnik"",""email"":""vojtek@jasnavj.sk",,,,,0,0,0.0,1.0,1.0,"{'Polish (1)', 'English', 'Slovak (1)', 'All languages'}",ALL
g1009332-d19003536,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d19003536-Reviews-Restauracia_Tri_Studnicky-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Restauracia Tri Studnicky']",Restauracia Tri Studnicky, Claimed,4.0,"March 2, 2023","Demanovska Dolina 5, Demanovska Dolina 031 01 Slovakia",49.02979,19.57255,#14 of 21 Restaurants in Demanovska Dolina,#4 of 4 International in Demanovska Dolina,"['$$ - $$$', 'International', 'European', 'Central European']",(9),,,₪42 - ₪114,"International, European, Central European","Lunch, Dinner, Drinks",,[], Open now: 12:00 PM - 10:00 PM,tel:+421 44/547 80 16,"http://tristudnicky.sk/sk/restauracie-a-bary/restauracia/"",""email"":""info@tristudnicky.sk",,,,,5,1,1.0,1.0,1.0,"{'English (5)', 'All languages', 'Polish (1)', 'Czech (1)', 'Slovak (2)'}",ALL
g1009332-d4505940,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d4505940-Reviews-Koliba_Tri_Studnicky_u_Tomasovcov-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Koliba Tri Studnicky u Tomasovcov']",Koliba Tri Studnicky u Tomasovcov, Claimed,4.5,"August 31, 2023","Demanovska Dolina 5, Demanovska Dolina 03101 Slovakia",49.030666,19.572678,#2 of 21 Restaurants in Demanovska Dolina,#2 of 21 Restaurants in Demanovska Dolina,"['$$ - $$$', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",(374),,,₪42 - ₪114,,"Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options","['Takeout', 'Reservations', 'Outdoor Seating', 'Seating', 'Parking Available', 'Validated Parking', 'Highchairs Available', 'Wheelchair Accessible', 'Serves Alcohol', 'Full Bar', 'Free Wifi', 'Table Service']", Open now: 12:00 PM - 10:00 PM,tel:+421 911 555 600,"http://www.kolibatristudnicky.sk"",""email"":""koliba@zelenystvorec.sk",bubble_45,bubble_40,bubble_40,bubble_45,258,40,25.0,18.0,33.0,"{'All languages', 'English (91)', 'Czech (69)', 'Slovak (141)', 'Hebrew (5)', 'Polish (41)', 'Russian (16)', 'Serbian (1)', 'Spanish (3)', 'Italian (2)', 'German (2)', 'French (3)'}",ALL
g1009332-d6109897,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d6109897-Reviews-Ludova_Restauracia_at_Ski_Wellness_Residence_Druzba-Demanovska_Dolina_Zilina_Reg.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Ludova Restauracia at Ski & Wellness Residence Druzba']",Ľudová Reštaurácia at Ski & Wellness Residence Družba, Claimed,4.0,"January 14, 2023","Demänovská Dolina, Jasná, Demanovska Dolina 031 01 Slovakia",48.96675,19.585495,#4 of 21 Restaurants in Demanovska Dolina,#4 of 21 Restaurants in Demanovska Dolina,"['$$ - $$$', 'European', 'Eastern European', 'Central European']",(132),,,₪16 - ₪72,"European, Eastern European, Central European","Lunch, Dinner, Brunch",,"['Reservations', 'Outdoor Seating', 'Seating', 'Highchairs Available', 'Serves Alcohol', 'Full Bar', 'Free Wifi', 'Table Service', 'Wine and Beer', 'Family style', 'Non-smoking restaurants']", Open now: 10:00 AM - 10:00 PM,tel:+421 44/559 15 55,"http://www.druzbahotel.sk/ludova-restauracia/"",""email"":""druzba@druzbahotel.sk",bubble_45,bubble_45,bubble_45,bubble_45,77,31,9.0,7.0,8.0,"{'Portuguese (1)', 'Norwegian (1)', 'Hebrew (1)', 'All languages', 'Polish (8)', 'Russian (31)', 'Czech (10)', 'English (40)', 'Slovak (38)', 'Spanish (1)', 'Hungarian (1)'}",ALL
g1009332-d7202726,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d7202726-Reviews-Restaurant_Koliba_Bystrina-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Restaurant Koliba Bystrina']",Restaurant Koliba Bystrina, Claimed,4.0,"August 5, 2023","Demänovská Dolina 23, Demanovska Dolina 031 01 Slovakia",49.03335,19.574684,#3 of 21 Restaurants in Demanovska Dolina,#2 of 15 European in Demanovska Dolina,"['$$ - $$$', 'European', 'Central European', 'Vegetarian Friendly']",(235),,,₪29 - ₪105,"European, Central European","['Lunch', 'Dinner', 'Breakfast', 'Brunch', 'Drinks']",Vegetarian Friendly,"['Reservations', 'Outdoor Seating', 'Buffet', 'Seating', 'Parking Available', 'Free off-street parking', 'Highchairs Available', 'Wheelchair Accessible', 'Serves Alcohol', 'Wine and Beer', 'Free Wifi', 'Table Service', 'Takeout', 'Full Bar', 'Gift Cards Available']",Closes in 34 min:  See all hours,tel:+421 903 533 971,"http://bystrinaresort.sk/restauracia/"",""email"":""bystrinaresort@bystrinaresort.sk",bubble_40,bubble_45,bubble_40,,123,62,25.0,16.0,9.0,"{'English (62)', 'All languages', 'French (1)', 'Dutch (2)', 'Polish (44)', 'Slovak (68)', 'Russian (16)', 'Czech (29)', 'Spanish (1)', 'German (2)', 'Hebrew (10)'}",ALL
g1009332-d7620310,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d7620310-Reviews-Slovenska_Koliba_Jasna-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Slovenska Koliba Jasna']",Slovenská Koliba Jasná, Claimed,4.5,"September 17, 2023","Demanovska Dolina 73 Behind Hotel Ostredok - IgloBrothers, Demanovska Dolina 031 01 Slovakia",48.967243,19.575333,#1 of 21 Restaurants in Demanovska Dolina,#1 of 21 Restaurants in Demanovska Dolina,"['$$ - $$$', 'European', 'Eastern European', 'Central European']",(388),,,,"European, Eastern European, Central European","Dinner, Drinks","Vegetarian Friendly, Gluten Free Options","['Takeout', 'Outdoor Seating', 'Seating', 'Parking Available', 'Street Parking', 'Highchairs Available', 'Serves Alcohol', 'Full Bar', 'Wine and Beer', 'Reservations', 'Table Service', 'Family style', 'Non-smoking restaurants']",Closes in 34 min:  See all hours,tel:+421 904-392-750,"https://www.slovenskakoliba.sk"",""email"":""info@kolibajasna.sk",bubble_45,bubble_45,bubble_45,bubble_50,319,41,19.0,1.0,8.0,"{'Spanish (2)', 'All languages', 'Dutch (2)', 'Hebrew (9)', 'Russian (13)', 'Slovak (122)', 'Hungarian (1)', 'French (4)', 'English (119)', 'Italian (1)', 'Serbian (1)', 'Czech (79)', 'Polish (35)'}",ALL
g1009332-d7649275,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d7649275-Reviews-Restaurant_Rotunda-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Restaurant Rotunda']",Restaurant Rotunda, Claimed,3.5,"January 1, 2023","Chopok 2004 m above sea level, Demanovska Dolina 031 01 Slovakia",48.943394,19.590027,#9 of 21 Restaurants in Demanovska Dolina,#7 of 15 European in Demanovska Dolina,"['$$ - $$$', 'European']",(82),,,,European,Drinks,,"Serves Alcohol, Outdoor Seating, Highchairs Available, Wine and Beer, Free Wifi, Accepts Credit Cards",+ Add hours,tel:+421 907 886 644,"http://www.jasna.sk/zazitky/bary-restauracie/rotunda-restaurant/"",""email"":""info@jasna.sk",bubble_35,bubble_35,bubble_35,,22,29,16.0,6.0,9.0,"{'Czech (13)', 'Polish (16)', 'All languages', 'Russian (4)', 'Dutch (1)', 'German (2)', 'English (30)', 'Slovak (16)'}",ALL
g1009332-d7813046,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d7813046-Reviews-Bufet_Klobuk-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Bufet Klobuk']",Bufet Klobuk, Unclaimed,3.5,"June 15, 2022","Jasna 329, Demanovska Dolina 032 51 Slovakia",48.97148,19.5805,#16 of 21 Restaurants in Demanovska Dolina,#16 of 21 Restaurants in Demanovska Dolina,"['$', 'European']",(19),,,,European,[],,[],+ Add hours,tel:+421 905 441 637,,bubble_35,bubble_35,bubble_35,,6,6,2.0,1.0,4.0,"{'Polish (2)', 'All languages', 'Slovak (7)', 'Czech (3)', 'English (7)'}",ALL
g1009332-d8491146,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d8491146-Reviews-Jasna_restaurant_Chata_Lucky-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Jasna restaurant Chata Lucky']",Jasna restaurant Chata Lucky, Unclaimed,4.5,"March 27, 2018","Chata Lucky c.34, Demanovska Dolina 032 51 Slovakia",49.02498,19.57252,#15 of 21 Restaurants in Demanovska Dolina,#15 of 21 Restaurants in Demanovska Dolina,"['$$ - $$$', 'European', 'Central European']",(9),,,,"European, Central European",[],,[],+ Add hours,tel:+421 918 625 008,http://chatalucky.sk/?page_id=67,bubble_50,bubble_50,bubble_50,,5,3,1.0,0.0,0.0,"{'All languages', 'English (4)', 'Russian (1)', 'Polish (3)', 'Spanish (1)'}",ALL
g1009332-d8546966,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d8546966-Reviews-Riverside_Restaurant-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Riverside Restaurant']",Riverside Restaurant, Unclaimed,4.0,"July 23, 2023","Demaenovska Dolina 22, Demanovska Dolina 031 01 Slovakia",49.01558,19.58137,#6 of 21 Restaurants in Demanovska Dolina,#6 of 21 Restaurants in Demanovska Dolina,"['$$ - $$$', 'Pizza', 'European']",(86),,,₪8 - ₪42,"Pizza, European","Lunch, Dinner",,"['Reservations', 'Seating', 'Highchairs Available', 'Serves Alcohol', 'Table Service']",+ Add hours,tel:+421 905 566 036,"http://www.riverside.sk/restauracia-v-jasnej"",""email"":""info@riverside.com",bubble_45,bubble_40,bubble_45,,35,25,15.0,3.0,8.0,"{'Spanish (2)', 'Polish (10)', 'All languages', 'German (1)', 'Czech (10)', 'Russian (8)', 'Italian (1)', 'English (27)', 'Hebrew (9)', 'Danish (2)', 'Slovak (16)'}",ALL
g1009332-d8822938,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d8822938-Reviews-Rastauracia_Jasna-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Rastauracia Jasna']",Raštaurácia Jasná, Claimed,4.5,"March 12, 2020","Hotel DRUŽBA - Jasná Hotelová reštaurácia, Demanovska Dolina 03251 Slovakia",48.966904,19.585228,#8 of 21 Restaurants in Demanovska Dolina,#1 of 1 French in Demanovska Dolina,"['$$ - $$$', 'Italian', 'French', 'Russian']",(23),,,,"Italian, French, Russian","Breakfast, Lunch, Dinner, Drinks",,"Wheelchair Accessible, Table Service, Reservations, Buffet, Seating, Parking Available, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Digital Payments, Free Wifi",+ Add hours,tel:+421 44/559 15 55,"http://www.druzbahotel.sk/gastronomia/restauracia-jasna"",""email"":""druzba@druzbahotel.sk",,,,,17,5,0.0,0.0,1.0,"{'Slovak (6)', 'All languages', 'French (1)', 'English (3)', 'Polish (3)', 'Russian (7)', 'Czech (3)'}",ALL
g1009332-d9805383,['https://www.tripadvisor.com/Restaurant_Review-g1009332-d9805383-Reviews-Koliesko-Demanovska_Dolina_Zilina_Region.html'],"['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Koliesko']",Koliesko, Unclaimed,3.0,"December 21, 2019","Demanovska Dolina 95, Demanovska Dolina 03251 Slovakia",48.963207,19.585752,#20 of 21 Restaurants in Demanovska Dolina,#15 of 15 European in Demanovska Dolina,"['$$ - $$$', 'European']",(18),,,,European,[],,[],+ Add hours,,"http://www.jasna-koliesko.sk"",""email"":""koliesko@lm.psg.sk",bubble_35,bubble_40,bubble_30,,3,5,2.0,2.0,6.0,"{'Polish (4)', 'All languages', 'English (6)', 'Czech (4)', 'Slovak (4)'}",ALL
g1009465-d21351951,['https://www.tripadvisor.com/Restaurant_Review-g26668697-d21351951-Reviews-Pod_Kastielom-Rumanova_Nitra_Region.html'],"['Europe', 'Slovakia', 'Nitra Region', 'Rumanova', 'Rumanova Restaurants', 'Pod Kastielom']",Pod Kastielom, Unclaimed,5.0,"September 23, 2022","Rumanova 12, Rumanova 95137 Slovakia",48.328903,17.87134,#1 of 1 Restaurant in Rumanova,#1 of 1 Pizza in Rumanova,"['$', 'Pizza', 'European']",(1),,,₪8 - ₪50,"Pizza, European","Lunch, Dinner",,[],Closes in 31 min:  See all hours,tel:+421 919 200 224,"http://www.podkastielom.sk"",""email"":""info.podkastielom@gmail.com",,,,,1,0,0.0,0.0,0.0,"{'Slovak (1)', 'English', 'All languages'}",ALL
g1009467-d21121250,['https://www.tripadvisor.com/Restaurant_Review-g26517875-d21121250-Reviews-U_Palucha-Mytna_Banska_Bystrica_Region.html'],"['Europe', 'Slovakia', 'Banska Bystrica Region', 'Mytna', 'Mytna Restaurants', 'U Palucha']",U Palucha, Unclaimed,3.0,"July 22, 2020","Mytna 61, Mytna 985 53 Slovakia",48.46718,19.552118,#1 of 1 Restaurant in Mytna,#1 of 1 Central European in Mytna,"['European', 'Czech', 'Central European', 'Hungarian']",(1),,,,"European, Czech, Central European, Hungarian",[],,[],+ Add hours,tel:+421 948 257 556,https://www.facebook.com/profile.php?id=100041322379037,,,,,0,0,1.0,0.0,0.0,"{'All languages', 'English (1)'}",ALL
g1009470-d1106558,['https://www.tripadvisor.com/Restaurant_Review-g274927-d1106558-Reviews-Bamba_Lina-Kosice_Kosice_Region.html'],"['Europe', 'Slovakia', 'Kosice Region', 'Kosice', 'Kosice Restaurants', 'Bamba Lina']",Bamba Lina - CLOSED, Unclaimed,2.0,"August 7, 2020","Mlynská 893/22, Kosice 04001 Slovakia",48.72142,21.26127,,,,(7),,,,,"Lunch, Dinner",,[],,tel:+421 55/622 01 80,"https://www.facebook.com/bambalina1"",""email"":""bambalina@netkosice.sk",,,,,1,1,0.0,1.0,4.0,"{'Slovak (6)', 'All languages', 'English (1)'}",ALL
g1016035-d10222206,['https://www.tripadvisor.com/Restaurant_Review-g1016035-d10222206-Reviews-Carovna_Spajza-Dubnica_nad_Vahom_Trencin_Region.html'],"['Europe', 'Slovakia', 'Trencin Region', 'Dubnica nad Vahom', 'Dubnica nad Vahom Restaurants', 'Carovna Spajza']",Čarovná Špajza, Unclaimed,4.5,"June 23, 2023","Námestie Matice Slovenskej 4263 Obchodné centrum ASTRA, Dubnica nad Váhom 018 41 Slovakia",48.958626,18.174093,#1 of 12 Restaurants in Dubnica nad Váhom,#1 of 1 Street Food in Dubnica nad Vahom,"['$$ - $$$', 'Steakhouse', 'Grill', 'Street Food']",(42),,,,"Steakhouse, Grill, Street Food, Soups","Breakfast, Lunch, Dinner, Brunch, Drinks",Vegetarian Friendly,"['Takeout', 'Reservations', 'Wheelchair Accessible', 'Free Wifi', 'Accepts Credit Cards', 'Table Service', 'Private Dining', 'Street Parking', 'Valet Parking', 'Serves Alcohol', 'Accepts Mastercard', 'Accepts Visa', 'Non-smoking restaurants']", Open now: 07:30 AM - 10:00 PM,tel:+421 905 666 602,"http://www.carovnaspajza.eu"",""email"":""restauraciacarovnaspajza@gmail.com",bubble_50,bubble_50,bubble_50,,33,6,1.0,1.0,1.0,"{'All languages', 'German (1)', 'Polish (1)', 'Slovak (31)', 'Czech (2)', 'English (7)'}",ALL
g1016035-d10862776,['https://www.tripadvisor.com/Restaurant_Review-g1016035-d10862776-Reviews-Perla_Restaurant-Dubnica_nad_Vahom_Trencin_Region.html'],"['Europe', 'Slovakia', 'Trencin Region', 'Dubnica nad Vahom', 'Dubnica nad Vahom Restaurants', 'Perla Restaurant']",Perla Restaurant, Unclaimed,2.0,"February 7, 2020","46, Prejta, Dubnica nad Váhom 01841 Slovakia",,,#12 of 12 Restaurants in Dubnica nad Váhom,#12 of 12 Restaurants in Dubnica nad Vahom,,(4),,,,,"Breakfast, Lunch, Dinner",,[], Open now: 08:00 AM - 10:00 PM,tel:+421 42/447 50 35,,,,,,0,1,0.0,0.0,3.0,"{'Slovak (4)', 'English', 'All languages'}",ALL
