"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","status","id_destination","price_category","top_tags","type","English","non-English","local","website","is_available","homesite_user_name","fb_last_update","facebook_text","subscribers","description","fb_last_update_year","website_type","website_status","is_available1","is_available2","fb_rating","fb_reviews","fb_followers"
"g1025615-d15614164","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'The PUB Pamporovo']","The PUB Pamporovo","Claimed",4.5,"March 3, 2019","Smolyan, Hotel Perelik, Pamporovo 4870 Bulgaria",41.657837,24.696638,"#8 of 24 Restaurants in Pamporovo","#8 of 24 Restaurants in Pamporovo",20,0,,,"Steakhouse, Bar, Cafe, Pub, Soups","Breakfast, Lunch, Dinner, Brunch, Drinks",,"Seating","True","True",,,,,14,5,1,0,0,"English (19), Greek (1)","in rating","g1025615-d15614164","$","Steakhouse, Bar, Cafe","Restaurants",19,1,0,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1025615-d16694682","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'The White Hart Pamporovo']","The White Hart Pamporovo","Claimed",4,"March 1, 2023","4870 Pamporovo, Pamporovo 4870 Bulgaria",41.65723,24.696058,"#14 of 24 Restaurants in Pamporovo","#8 of 9 European in Pamporovo",37,0,,"₪11 - ₪78","Bar, European, Steakhouse, International, Pub","Lunch, Dinner",,"Serves Alcohol, Accepts Credit Cards, Table Service, Reservations, Seating","False","True",45,45,40,,21,3,5,1,7,"English (35), Turkish (1), Greek (1)","in rating","g1025615-d16694682","$$ - $$$","Steakhouse, Bar, International","Restaurants",35,2,0,"http://www.facebook.com/The-White-Hart-Pamporovo-399107645374/","account_exists","The White Hart-Pamporovo","February 22, 2022",,"1.2K likes • 1.2K followers","Intro
""The White Hart"" is the place where people of all ages gather to feel at home, away from home. Our f
Page · Restaurant
Smolyan, Bulgaria
+359 87 655 6629
thewhitehartpamporovo@gmail.com
the-white-hart-bar-and-dinner.business.site/?_target%3Fm=true
Dine-in · Curbside pickup
Price Range · $$",2022,"facebook","online","True","True",,,1200
"g1025615-d16725297","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Rodopski Culinary Specialties']","Rodopski Culinary Specialties","Unclaimed",4.5,"August 23, 2023","4870 Pamporovo, Pamporovo 4870 Bulgaria",41.65151,24.694094,"#10 of 24 Restaurants in Pamporovo","#10 of 24 Restaurants in Pamporovo",12,0,,,"Eastern European, European, Central European","Dinner, Lunch",,"Reservations, Table Service","True","True",,,,,10,1,0,1,0,"German (1), English (10), Russian (1)","in rating","g1025615-d16725297","$$ - $$$","European, Eastern European, Central European","Restaurants",10,2,0,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1025615-d19949485","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', ""Peter's Pub""]","Peter's Pub","Unclaimed",5,"March 27, 2023","Pamporovo 4703 Bulgaria",,,"#12 of 24 Restaurants in Pamporovo","#5 of 8 Pub in Pamporovo",7,0,,,"Pub",,,,"False","True",,,,,6,1,0,0,0,"Russian (1), English (6)","in rating","g1025615-d19949485","$","Pub","Restaurants",6,1,0,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1025615-d23092813","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Vlasov']","Vlasov","Unclaimed",,,"Mt Karamanja, Pamporovo 4870 Bulgaria",41.65525,24.69352,,,0,0,,,"European","Breakfast, Lunch, Dinner",,,"True","True",,,,,0,0,0,0,0,,"in rating","g1025615-d23092813",,"European",,0,0,0,"https://www.facebook.com/Vlasov-HotelandRestaurant-100277544859795/","account_exists","Vlasov HotelandRestaurant","December 13, 2020",,"1.1K likes • 1.1K followers","Intro
Добро пожаловать Hotel & RestaurantVlasov

Мы сделаем ваш отдых не
Page · Hotel resort
+359 87 765 7755
vlasov.hotel.restoran@gmail.com
Always open
Dine-in · Outdoor seating
Price Range · $$
Rating · 4.6 (12 Reviews)",2020,"facebook","online","True","True",4.6,12,1100
"g1025615-d23212333","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Castle Tavern Pub (mehana)']","Castle Tavern Pub (mehana)","Unclaimed",5,"March 6, 2021","Castle 1 Tavern (mehana) Near Ski Piste, Pamporovo 4870 Bulgaria",41.656776,24.69536,"#20 of 24 Restaurants in Pamporovo","#20 of 24 Restaurants in Pamporovo",1,0,,,"Steakhouse, Seafood, Turkish, Pub, Eastern European","Lunch, Dinner",,,"True","True",,,,,1,0,0,0,0,"English (1)","in rating","g1025615-d23212333","$","Steakhouse, Seafood, Turkish","Restaurants",1,0,0,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1025615-d2555495","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Gloria Mar Restaurant - Pamporovo']","Gloria Mar Restaurant - Pamporovo","Claimed",4,"August 10, 2023","Ul. Shipka N 34 Center, Pamporovo 4870 Bulgaria",41.657993,24.69831,"#4 of 24 Restaurants in Pamporovo","#4 of 24 Restaurants in Pamporovo",326,0,,"₪64 - ₪170","Pizza, Mediterranean, Steakhouse, Barbecue","Lunch, Dinner, Drinks, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Outdoor Seating, Seating, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service","True","True",40,40,35,40,189,53,28,21,35,"Italian (1), Spanish (2), German (1), English (270), Greek (4), Russian (19), Turkish (29)","in rating","g1025615-d2555495","$$ - $$$","Steakhouse, Pizza, Mediterranean","Restaurants",270,56,0,"http://www.gloriamar-bg.com/","Gloriamar-bg.com",,"nan",,,,0,"non-facebook","online","True","False",,,0
"g1025615-d3139529","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'The White Dog']","The White Dog","Claimed",4.5,"February 26, 2020","Malina, ski centre 2, Pamporovo 4870 Bulgaria",41.65547,24.682013,"#7 of 24 Restaurants in Pamporovo","#5 of 9 European in Pamporovo",44,0,,,"Brew Pub, Bar, Pizza, European, Pub","Breakfast, Lunch, Dinner, Brunch","Vegetarian Friendly","Serves Alcohol, Full Bar, Outdoor Seating, Seating","False","False",45,45,45,,30,10,0,3,1,"Turkish (3), Greek (1), Dutch (1), English (37), Russian (2)","in rating","g1025615-d3139529","$","Brew Pub, Bar, Pizza","Restaurants",37,7,0,"http://interskipamporovo.com","failed_to_access","failed_to_access","nan",,,,0,"non-facebook","unavailable","False","False",,,0
"g1025615-d3216767","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', ""Alex's Pub At Ski Center Malina""]","Alex's Pub At Ski Center Malina","Claimed",4.5,"December 23, 2022","Malina, Pamporovo 4870 Bulgaria",41.63587,24.679113,"#2 of 24 Restaurants in Pamporovo","#1 of 2 Grill in Pamporovo",190,0,,"₪8 - ₪85","Bar, European, Pub, Grill","Breakfast, Lunch, Dinner, Brunch","Vegetarian Friendly","Outdoor Seating, Seating, Television, Serves Alcohol, Full Bar, Free Wifi, Table Service, Highchairs Available","True","True",45,45,45,45,125,45,13,3,4,"Russian (12), Polish (1), Spanish (1), English (163), Turkish (12), Greek (1)","in rating","g1025615-d3216767","$","Bar, European, Grill","Restaurants",163,27,0,"https://www.facebook.com/pages/Alexs-Pub-1/170137659703956","account_exists","Alex's Pub at ski Center Malina updated their cover photo.","June 21, 2023",,"1.8K followers • 15 following","Intro
Irish and Bulgarian owned Family run.

Our menu inludes typical traditional Bulgarian dishes and als
Page · Bar
Malina, Smolyan, Bulgaria
+359 89 437 7897
info@alexspub.com
alexspub.com
Closed now
Dine-in · Outdoor seating · In-store pickup
Price Range · $$
Rating · 4.4 (306 Reviews)
Offers free Wi-Fi",2023,"facebook","online","True","True",,,1800
"g1025615-d4559270","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Black Horse Restaurant']","Black Horse Restaurant","Claimed",4,"July 14, 2023","Pamporovo 4700 Bulgaria",41.62695,24.70351,"#13 of 24 Restaurants in Pamporovo","#13 of 24 Restaurants in Pamporovo",33,0,,,,"Breakfast, Lunch",,"Outdoor Seating, Seating, Table Service","False","True",35,40,35,,15,9,2,2,5,"Turkish (2), Spanish (1), Greek (2), English (23), Russian (5)","in rating","g1025615-d4559270","$$ - $$$",,"Restaurants",23,10,0,"https://www.facebook.com/blackhorsepamporovo/","account_exists","Restaurant Black Horse/ Ресторант Черният Кон, Apartments for guests","August 7, 2022",,"1.3K likes • 1.3K followers","Intro
Ресторант и апартаменти за гости Черният кон - ски цент
Page · Restaurant
k.k. Pamporovo, Smolyan, Bulgaria
+359 89 547 3441
skischoolblackhorse.com
Always open
Outdoor seating · Curbside pickup
Price Range · $$
Rating · 4.2 (98 Reviews)",2022,"facebook","online","True","True",4.2,98,1300
"g1025615-d7338570","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Panorama']","Panorama","Unclaimed",4,"February 17, 2023","Kk Pamporovo, Studenec Pamporovo, Studenec, Pamporovo 4870 Bulgaria",41.642803,24.689735,"#5 of 24 Restaurants in Pamporovo","#4 of 9 European in Pamporovo",93,0,,,"European","Lunch, Breakfast, Dinner","Vegetarian Friendly","Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Table Service, Reservations, Outdoor Seating","False","True",40,45,40,,51,23,8,2,9,"English (57), Spanish (2), German (1), Greek (2), Russian (13), Turkish (18)","in rating","g1025615-d7338570","$$ - $$$","European, Vegetarian Friendly","Restaurants",57,36,0,"http://radoweb.alle.bg",,,"nan",,,,0,"non-facebook","unavailable","False","False",,,0
"g1025615-d8462928","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Salute']","Salute","Claimed",4.5,"February 25, 2023","Grand Monastery, Monastery 3 Monastery Complex, Pamporovo 4700 Bulgaria",41.641487,24.690735,"#1 of 24 Restaurants in Pamporovo","#1 of 2 Central European in Pamporovo",118,0,,"₪8 - ₪93","European, Central European","Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options","Accepts Visa, Takeout, Reservations, Seating, Parking Available, Street Parking, Free off-street parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Cash Only, Free Wifi, Table Service, Television","True","True",45,50,45,,91,19,4,4,0,"French (2), Spanish (1), German (1), Swedish (1), Russian (10), English (94), Greek (1), Turkish (8)","in rating","g1025615-d8462928","$$ - $$$","European, Central European, Vegetarian Friendly","Restaurants",94,24,0,"http://www.facebook.com/pages/Salute-food-and-fun/884664521568409","account_exists","Salute - food and fun is at Pamporovo.","March 20, 2023","Officially closed for season 2022/23
Thank you for visiting S A L U T E and we look forward for another season!
.
.
.
.… See more","1K likes • 1K followers","Intro
⚡️Aprés ski Mediterranean cuisine in the heart of Rodope Mountains ⛷🌲❄️
📍Pamporovo
Page · Mediterranean Restaurant
+359 88 879 0630
salutefoodandfun@gmail.com
Closed now
Dine-in · In-store pickup
Price Range · $$
Rating · 4.9 (68 Reviews)",2023,"facebook","online","True","True",4.9,68,1000
"g1025615-d9589328","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Chevermeto of Bay Panayot']","Chevermeto of Bay Panayot","Unclaimed",4,"March 9, 2021","Pamporovo 1, Pamporovo 4870 Bulgaria",41.657238,24.695534,"#6 of 24 Restaurants in Pamporovo","#6 of 24 Restaurants in Pamporovo",63,0,,"₪20 - ₪402","Barbecue, Eastern European, International","Dinner, Lunch","Vegetarian Friendly","Reservations, Seating, Serves Alcohol, Takeout, Highchairs Available, Table Service","False","True",45,45,45,,35,19,1,3,5,"Spanish (2), Swedish (1), Russian (9), English (33), Turkish (17), French (1)","in rating","g1025615-d9589328","$$ - $$$","International, Barbecue, Eastern European","Restaurants",33,30,0,"http://chevermetobg.com/","failed_to_access",,"nan",,,,0,"non-facebook","unavailable","False","False",,,0
"g1025615-d9715473","['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Mehana']","Mehana","Claimed",4,"January 17, 2021","Manastira Grand Manastira, Pamporovo 4700 Bulgaria",41.64075,24.689909,"#18 of 24 Restaurants in Pamporovo","#3 of 6 Eastern European in Pamporovo",14,0,,"₪13 - ₪64","Turkish, European, Gastropub, Eastern European, Barbecue, Greek","Breakfast, Lunch, Dinner, Brunch",,"Reservations, Validated Parking, Highchairs Available, Wheelchair Accessible, Accepts Mastercard, Accepts Visa, Free Wifi, Seating, Accepts Credit Cards, Table Service","True","True",,,,,6,5,1,0,2,"Spanish (1), English (11), French (1), Turkish (1)","in rating","g1025615-d9715473","$$ - $$$","Barbecue, European, Turkish","Restaurants",11,3,0,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1050095-d12562820","['Europe', 'Bulgaria', 'Kyustendil Province', 'Dupnitsa', 'Dupnitsa Restaurants', ""Leonardo Ristorante D'Italia""]","Leonardo Ristorante D'Italia","Unclaimed",4,"September 30, 2018","Ul. Cercovna 3, Dupnitsa 2600 Bulgaria",42.26484,23.10981,"#5 of 7 Restaurants in Dupnitsa","#3 of 4 Italian in Dupnitsa",3,0,,,"Italian",,,,"False","True",,,,,1,1,1,0,0,"Italian (3), English","in rating","g1050095-d12562820",,"Italian","Restaurants",0,3,0,"http://www.facebook.com/Leonardo-Ristorante-DItalia-515884688616748/","account_exists","Pizza Leo","September 1, 2021",,"594 likes • 600 followers","Intro
cucina italiana
Page · Italian Restaurant
ул. черковна 3, Dupniza, Bulgaria
+359 87 653 1391
Closed now
Dine-in · Outdoor seating
Price Range · $
Rating · 4.6 (45 Reviews)",2021,"facebook","online","True","True",4.6,45,600
"g1050095-d12820059","['Europe', 'Bulgaria', 'Kyustendil Province', 'Dupnitsa', 'Dupnitsa Restaurants', 'Amorone']","Amorone","Unclaimed",3,"November 22, 2019","Ulitsa Georgi Benkovski 4, Dupnitsa 2600 Bulgaria",42.26546,23.11886,"#7 of 7 Restaurants in Dupnitsa","#4 of 4 Italian in Dupnitsa",2,0,,,"Italian",,,,"False","True",,,,,0,1,0,1,0,"Italian (1), English (1)","in rating","g1050095-d12820059",,"Italian","Restaurants",1,1,0,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1050095-d13539368","['Europe', 'Bulgaria', 'Kyustendil Province', 'Dupnitsa', 'Dupnitsa Restaurants', 'Pizza Al Castello']","Pizza Al Castello","Unclaimed",5,"July 1, 2021","PK Javorov 21-3, Dupnitsa 2600 Bulgaria",42.264187,23.1077,"#2 of 7 Restaurants in Dupnitsa","#2 of 4 Italian in Dupnitsa",4,0,,"₪4 - ₪35","Italian","Breakfast, Lunch, Dinner",,,"True","True",,,,,3,1,0,0,0,"English (2), German (1), Italian (1)","in rating","g1050095-d13539368","$","Italian","Restaurants",2,2,0,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1050095-d15082394","['Europe', 'Bulgaria', 'Kyustendil Province', 'Dupnitsa', 'Dupnitsa Restaurants', 'Billi Pizza']","Billi Pizza","Unclaimed",4,"June 14, 2023","2600 Tsentar, Dupnitsa 2600 Bulgaria",,,"#4 of 7 Restaurants in Dupnitsa","#4 of 7 Restaurants in Dupnitsa",2,0,,,,"Lunch",,,"True","True",,,,,0,2,0,0,0,"English (2)","in rating","g1050095-d15082394",,,"Restaurants",2,0,0,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1050095-d19713974","['Europe', 'Bulgaria', 'Kyustendil Province', 'Dupnitsa', 'Dupnitsa Restaurants', 'Restaurant Condor']","Restaurant Condor","Unclaimed",5,"December 14, 2019","Vihren Str 3, Dupnitsa 2600 Bulgaria",42.263767,23.116722,"#6 of 7 Restaurants in Dupnitsa","#6 of 7 Restaurants in Dupnitsa",1,0,,,,,,,"False","True",,,,,1,0,0,0,0,"English (1)","in rating","g1050095-d19713974",,,"Restaurants",1,0,0,"http://bg-bg.facebook.com/pages/%D0%A0%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%B0%D0%BD%D1%82-%D0%9A%D0%BE%D0%BD%D0%B4%D0%BE%D1%80%D0%B3%D1%80%D0%94%D1%83%D0%BF%D0%BD%D0%B8%D1%86%D0%B0/347036765360011","account_exists","Klara Stoianova is at Ресторант Кондор,гр.Дупница.","October, 2023","Na zdave!...","Facebook is showing information to help you better understand the purpose of a Page. See actions taken by the people who manage and post content.","About
See all
Пл.Македония 3 Dupnitsa, Bulgaria
1,396 people like this
1,396 people follow this
6,961 people checked in here
Local Business",2023,"facebook","online","True","True",,,0
