"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","status","id_destination","price_category","top_tags","type","English","non-English","local","website","is_available","homesite_user_name","fb_last_update","facebook_text","subscribers","description","fb_last_update_year","website_type","website_status","is_available1","is_available2","fb_rating","fb_reviews","fb_followers"
"g1009332-d16856986","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Sportklub Kvasnicnik']","Sportklub Kvasnicnik","Unclaimed",1.5,"January 28, 2020","Demanovska Dolina 328, Demanovska Dolina 031 01 Slovakia",49.02429,19.57245,"#21 of 21 Restaurants in Demanovska Dolina","#21 of 21 Restaurants in Demanovska Dolina",2,0,,,,,,,"False","True",,,,,0,0,0,1,1,"Polish (1), English, Slovak (1)","in rating","g1009332-d16856986",,,"Restaurants",0,2,1,"https://www.jasnavj.sk/sk/sportklub-kvasnicnik","Športklub Kvasničník | www.jasnavj.sk","www.jasnavj.sk |","nan",,,,0,"non-facebook","online","True","True",,,0
"g1009332-d19003536","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Restauracia Tri Studnicky']","Restauracia Tri Studnicky","Claimed",4,"March 2, 2023","Demanovska Dolina 5, Demanovska Dolina 031 01 Slovakia",49.02979,19.57255,"#14 of 21 Restaurants in Demanovska Dolina","#4 of 4 International in Demanovska Dolina",9,0,,"₪42 - ₪114","International, European, Central European","Lunch, Dinner, Drinks",,,"True","True",,,,,5,1,1,1,1,"English (5), Polish (1), Czech (1), Slovak (2)","in rating","g1009332-d19003536","$$ - $$$","International, European, Central European","Restaurants",5,4,2,"http://tristudnicky.sk/sk/restauracie-a-bary/restauracia/","Hotel Tri Studničky | TMR Hotels | Domov","Hotel Tri Studničky | TMR Hotels | Domov","nan",,,,0,"non-facebook","online","True","True",,,0
"g1009332-d4505940","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Koliba Tri Studnicky u Tomasovcov']","Koliba Tri Studnicky u Tomasovcov","Claimed",4.5,"August 31, 2023","Demanovska Dolina 5, Demanovska Dolina 03101 Slovakia",49.030666,19.572678,"#2 of 21 Restaurants in Demanovska Dolina","#2 of 21 Restaurants in Demanovska Dolina",374,0,,"₪42 - ₪114",,"Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service","True","True",45,40,40,45,258,40,25,18,33,"English (91), Czech (69), Slovak (141), Hebrew (5), Polish (41), Russian (16), Serbian (1), Spanish (3), Italian (2), German (2), French (3)","in rating","g1009332-d4505940","$$ - $$$","Vegetarian Friendly, Vegan Options, Gluten Free Options","Restaurants",91,283,141,"http://www.kolibatristudnicky.sk","kolibatristudnicky","kolibatristudnicky","nan",,,,0,"non-facebook","online","True","True",,,0
"g1009332-d6109897","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Ludova Restauracia at Ski & Wellness Residence Druzba']","Ľudová Reštaurácia at Ski & Wellness Residence Družba","Claimed",4,"January 14, 2023","Demänovská Dolina, Jasná, Demanovska Dolina 031 01 Slovakia",48.96675,19.585495,"#4 of 21 Restaurants in Demanovska Dolina","#4 of 21 Restaurants in Demanovska Dolina",132,0,,"₪16 - ₪72","European, Eastern European, Central European","Lunch, Dinner, Brunch",,"Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Table Service, Wine and Beer, Family style, Non-smoking restaurants","True","True",45,45,45,45,77,31,9,7,8,"Portuguese (1), Norwegian (1), Hebrew (1), Polish (8), Russian (31), Czech (10), English (40), Slovak (38), Spanish (1), Hungarian (1)","in rating","g1009332-d6109897","$$ - $$$","European, Eastern European, Central European","Restaurants",40,92,38,"http://www.druzbahotel.sk/ludova-restauracia/","Ľudová reštaurácia | Ski&Wellness Hotel Družba****","Domov | Ski&Wellness Hotel Družba****","nan",,,,0,"non-facebook","online","True","True",,,0
"g1009332-d7202726","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Restaurant Koliba Bystrina']","Restaurant Koliba Bystrina","Claimed",4,"August 5, 2023","Demänovská Dolina 23, Demanovska Dolina 031 01 Slovakia",49.03335,19.574684,"#3 of 21 Restaurants in Demanovska Dolina","#2 of 15 European in Demanovska Dolina",235,0,,"₪29 - ₪105","European, Central European","Lunch, Dinner, Breakfast, Brunch, Drinks","Vegetarian Friendly","Reservations, Outdoor Seating, Buffet, Seating, Parking Available, Free off-street parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Free Wifi, Table Service, Takeout, Full Bar, Gift Cards Available","True","True",40,45,40,,123,62,25,16,9,"English (62), French (1), Dutch (2), Polish (44), Slovak (68), Russian (16), Czech (29), Spanish (1), German (2), Hebrew (10)","in rating","g1009332-d7202726","$$ - $$$","European, Central European, Vegetarian Friendly","Restaurants",62,173,68,"http://bystrinaresort.sk/restauracia/","Reštaurácia Koliba Bystrina | Bystrina Resort","Bystrina Resort - Ubytovanie v srdci Jasnej","nan",,,,0,"non-facebook","online","True","True",,,0
"g1009332-d7620310","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Slovenska Koliba Jasna']","Slovenská Koliba Jasná","Claimed",4.5,"September 17, 2023","Demanovska Dolina 73 Behind Hotel Ostredok - IgloBrothers, Demanovska Dolina 031 01 Slovakia",48.967243,19.575333,"#1 of 21 Restaurants in Demanovska Dolina","#1 of 21 Restaurants in Demanovska Dolina",388,0,,,"European, Eastern European, Central European","Dinner, Drinks","Vegetarian Friendly, Gluten Free Options","Takeout, Outdoor Seating, Seating, Parking Available, Street Parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Reservations, Table Service, Family style, Non-smoking restaurants","True","True",45,45,45,50,319,41,19,1,8,"Spanish (2), Dutch (2), Hebrew (9), Russian (13), Slovak (122), Hungarian (1), French (4), English (119), Italian (1), Serbian (1), Czech (79), Polish (35)","in rating","g1009332-d7620310","$$ - $$$","European, Eastern European, Central European","Restaurants",119,269,122,"https://www.slovenskakoliba.sk","Úvod - Slovenská koliba Jasná","Úvod - Slovenská koliba Jasná","nan",,,,0,"non-facebook","online","True","True",,,0
"g1009332-d7649275","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Restaurant Rotunda']","Restaurant Rotunda","Claimed",3.5,"January 1, 2023","Chopok 2004 m above sea level, Demanovska Dolina 031 01 Slovakia",48.943394,19.590027,"#9 of 21 Restaurants in Demanovska Dolina","#7 of 15 European in Demanovska Dolina",82,0,,,"European","Drinks",,"Serves Alcohol, Outdoor Seating, Highchairs Available, Wine and Beer, Free Wifi, Accepts Credit Cards","False","True",35,35,35,,22,29,16,6,9,"Czech (13), Polish (16), Russian (4), Dutch (1), German (2), English (30), Slovak (16)","in rating","g1009332-d7649275","$$ - $$$","European","Restaurants",30,52,16,"http://www.jasna.sk/zazitky/bary-restauracie/rotunda-restaurant/",404,"Lyžiarske Stredisko Jasná - Nízke Tatry","nan",,,,0,"non-facebook","online","False","True",,,0
"g1009332-d7813046","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Bufet Klobuk']","Bufet Klobuk","Unclaimed",3.5,"June 15, 2022","Jasna 329, Demanovska Dolina 032 51 Slovakia",48.97148,19.5805,"#16 of 21 Restaurants in Demanovska Dolina","#16 of 21 Restaurants in Demanovska Dolina",19,0,,,"European",,,,"False","True",35,35,35,,6,6,2,1,4,"Polish (2), Slovak (7), Czech (3), English (7)","in rating","g1009332-d7813046","$","European","Restaurants",7,12,7,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1009332-d8491146","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Jasna restaurant Chata Lucky']","Jasna restaurant Chata Lucky","Unclaimed",4.5,"March 27, 2018","Chata Lucky c.34, Demanovska Dolina 032 51 Slovakia",49.02498,19.57252,"#15 of 21 Restaurants in Demanovska Dolina","#15 of 21 Restaurants in Demanovska Dolina",9,0,,,"European, Central European",,,,"False","True",50,50,50,,5,3,1,0,0,"English (4), Russian (1), Polish (3), Spanish (1)","in rating","g1009332-d8491146","$$ - $$$","European, Central European","Restaurants",4,5,0,"http://chatalucky.sk/?page_id=67","Chata Lúčky a bungalovy | Ubytovanie Jasná - Nízke Tatry","Chata Lúčky a bungalovy | Ubytovanie Jasná - Nízke Tatry","nan",,,,0,"non-facebook","online","True","True",,,0
"g1009332-d8546966","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Riverside Restaurant']","Riverside Restaurant","Unclaimed",4,"July 23, 2023","Demaenovska Dolina 22, Demanovska Dolina 031 01 Slovakia",49.01558,19.58137,"#6 of 21 Restaurants in Demanovska Dolina","#6 of 21 Restaurants in Demanovska Dolina",86,0,,"₪8 - ₪42","Pizza, European","Lunch, Dinner",,"Reservations, Seating, Highchairs Available, Serves Alcohol, Table Service","False","True",45,40,45,,35,25,15,3,8,"Spanish (2), Polish (10), German (1), Czech (10), Russian (8), Italian (1), English (27), Hebrew (9), Danish (2), Slovak (16)","in rating","g1009332-d8546966","$$ - $$$","Pizza, European","Restaurants",27,59,16,"http://www.riverside.sk/restauracia-v-jasnej","Reštaurácia v Jasnej - RiverSide","Ubytovanie v Jasnej, Nízke Tatry - Apartmány Riverside","nan",,,,0,"non-facebook","online","True","True",,,0
"g1009332-d8822938","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Rastauracia Jasna']","Raštaurácia Jasná","Claimed",4.5,"March 12, 2020","Hotel DRUŽBA - Jasná Hotelová reštaurácia, Demanovska Dolina 03251 Slovakia",48.966904,19.585228,"#8 of 21 Restaurants in Demanovska Dolina","#1 of 1 French in Demanovska Dolina",23,0,,,"Italian, French, Russian","Breakfast, Lunch, Dinner, Drinks",,"Wheelchair Accessible, Table Service, Reservations, Buffet, Seating, Parking Available, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Digital Payments, Free Wifi","False","True",,,,,17,5,0,0,1,"Slovak (6), French (1), English (3), Polish (3), Russian (7), Czech (3)","in rating","g1009332-d8822938","$$ - $$$","Italian, French, Russian","Restaurants",3,20,6,"http://www.druzbahotel.sk/gastronomia/restauracia-jasna","Reštaurácia Jasná | Ski&Wellness Hotel Družba****","Domov | Ski&Wellness Hotel Družba****","nan",,,,0,"non-facebook","online","True","True",,,0
"g1009332-d9805383","['Europe', 'Slovakia', 'Zilina Region', 'Demanovska Dolina', 'Demanovska Dolina Restaurants', 'Koliesko']","Koliesko","Unclaimed",3,"December 21, 2019","Demanovska Dolina 95, Demanovska Dolina 03251 Slovakia",48.963207,19.585752,"#20 of 21 Restaurants in Demanovska Dolina","#15 of 15 European in Demanovska Dolina",18,0,,,"European",,,,"False","False",35,40,30,,3,5,2,2,6,"Polish (4), English (6), Czech (4), Slovak (4)","in rating","g1009332-d9805383","$$ - $$$","European","Restaurants",6,12,4,"http://www.jasna-koliesko.sk","Chata Koliesko","Chata Koliesko","nan",,,,0,"non-facebook","online","True","True",,,0
"g1009465-d21351951","['Europe', 'Slovakia', 'Nitra Region', 'Rumanova', 'Rumanova Restaurants', 'Pod Kastielom']","Pod Kastielom","Unclaimed",5,"September 23, 2022","Rumanova 12, Rumanova 95137 Slovakia",48.328903,17.87134,"#1 of 1 Restaurant in Rumanova","#1 of 1 Pizza in Rumanova",1,0,,"₪8 - ₪50","Pizza, European","Lunch, Dinner",,,"True","True",,,,,1,0,0,0,0,"Slovak (1), English","in rating","g26668697-d21351951","$","Pizza, European","Restaurants",0,1,1,"http://www.podkastielom.sk","Pod Kaštielom","Pod Kaštielom","nan",,,,0,"non-facebook","online","True","True",,,0
"g1009467-d21121250","['Europe', 'Slovakia', 'Banska Bystrica Region', 'Mytna', 'Mytna Restaurants', 'U Palucha']","U Palucha","Unclaimed",3,"July 22, 2020","Mytna 61, Mytna 985 53 Slovakia",48.46718,19.552118,"#1 of 1 Restaurant in Mytna","#1 of 1 Central European in Mytna",1,0,,,"European, Czech, Central European, Hungarian",,,,"False","True",,,,,0,0,1,0,0,"English (1)","in rating","g26517875-d21121250",,"European, Czech, Central European, Hungarian","Restaurants",1,0,0,"https://www.facebook.com/profile.php?id=100041322379037","account_exists","Reštaurácia a penzión u Palúcha","September 23 , 2023","Keď sa spojí celoživotná vášeň námorníka, láska, rodina a životné jubileum. ","568 followers • 2 following","Intro
Reštaurácia a penzión U Palúcha sa nachádza na hlavnej trase medzi Bratislavou a Košicami. Na
Page · Restaurant
Mýtna 61, Mýtna, Slovakia
+421 948 257 556
upalucha.sk/denne-menu
Closed now
Rating · 5.0 (5 Reviews)",2023,"facebook","online","True","True",5,5,568
"g1009470-d1106558","['Europe', 'Slovakia', 'Kosice Region', 'Kosice', 'Kosice Restaurants', 'Bamba Lina']","Bamba Lina - CLOSED","Unclaimed",2,"August 7, 2020","Mlynská 893/22, Kosice 04001 Slovakia",48.72142,21.26127,,,7,0,,,,"Lunch, Dinner",,,"False","True",,,,,1,1,0,1,4,"Slovak (6), English (1)","closed","g274927-d1106558",,,,1,6,6,"https://www.facebook.com/bambalina1","account_exists","BAMBA LINA","December 23, 2022",,"916 likes • 932 followers","Intro
Reštaurácia, pizzéria a pub so 17 ročnou históriou, kde nájdete klasickú kuchyňu, hotové je
Page · Pizza place
Mlynská 22, Kosice, Slovakia
+421 55/622 01 80
bambalina@netkosice.sk
bambalina.sk
Closed now
Outdoor seating · Curbside pickup
Price Range · $$
Offers free Wi-Fi",2022,"facebook","online","True","True",,,932
"g1016035-d10222206","['Europe', 'Slovakia', 'Trencin Region', 'Dubnica nad Vahom', 'Dubnica nad Vahom Restaurants', 'Carovna Spajza']","Čarovná Špajza","Unclaimed",4.5,"June 23, 2023","Námestie Matice Slovenskej 4263 Obchodné centrum ASTRA, Dubnica nad Váhom 018 41 Slovakia",48.958626,18.174093,"#1 of 12 Restaurants in Dubnica nad Váhom","#1 of 1 Street Food in Dubnica nad Vahom",42,0,,,"Steakhouse, Grill, Street Food, Soups","Breakfast, Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly","Takeout, Reservations, Wheelchair Accessible, Free Wifi, Accepts Credit Cards, Table Service, Private Dining, Street Parking, Valet Parking, Serves Alcohol, Accepts Mastercard, Accepts Visa, Non-smoking restaurants","True","True",50,50,50,,33,6,1,1,1,"German (1), Polish (1), Slovak (31), Czech (2), English (7)","in rating","g1016035-d10222206","$$ - $$$","Steakhouse, Grill, Street Food","Restaurants",7,35,31,"http://www.carovnaspajza.eu","Čarovná Špajza - Zážitková reštaurácia v Dubnici nad Váhom","Čarovná Špajza - Zážitková reštaurácia v Dubnici nad Váhom","nan",,,,0,"non-facebook","online","True","True",,,0
"g1016035-d10862776","['Europe', 'Slovakia', 'Trencin Region', 'Dubnica nad Vahom', 'Dubnica nad Vahom Restaurants', 'Perla Restaurant']","Perla Restaurant","Unclaimed",2,"February 7, 2020","46, Prejta, Dubnica nad Váhom 01841 Slovakia",,,"#12 of 12 Restaurants in Dubnica nad Váhom","#12 of 12 Restaurants in Dubnica nad Vahom",4,0,,,,"Breakfast, Lunch, Dinner",,,"True","True",,,,,0,1,0,0,3,"Slovak (4), English","in rating","g1016035-d10862776",,,"Restaurants",0,4,4,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1016035-d11620460","['Europe', 'Slovakia', 'Trencin Region', 'Dubnica nad Vahom', 'Dubnica nad Vahom Restaurants', 'Chillout Steakhouse & Bar']","Chillout Steakhouse & Bar","Unclaimed",4,"May 13, 2019","Centrum II 88/35 Hoteli Kristina, Dubnica nad Váhom Slovakia",48.957367,18.177015,"#7 of 12 Restaurants in Dubnica nad Váhom","#7 of 12 Restaurants in Dubnica nad Vahom",3,0,,,,,,,"False","False",,,,,0,3,0,0,0,"English, French (1), Italian (2)","in rating","g1016035-d11620460",,,"Restaurants",0,3,0,,,,"nan",,,,0,"no_website","no_website","True","True",,,0
"g1016035-d11741549","['Europe', 'Slovakia', 'Trencin Region', 'Dubnica nad Vahom', 'Dubnica nad Vahom Restaurants', 'Per Lei']","Per Lei","Unclaimed",4,"April 2, 2022","Nám. Matice slovenskej 4262/22, Dubnica nad Váhom 018 41 Slovakia",48.95826,18.17279,"#4 of 12 Restaurants in Dubnica nad Váhom","#1 of 3 Pizza in Dubnica nad Vahom",24,0,,,"Italian, French, Pizza","Breakfast, Lunch, Dinner",,"Wheelchair Accessible, Table Service","True","True",35,30,30,,13,4,3,1,3,"German (1), Slovak (17), Hungarian (1), Czech (1), English, Italian (4)","in rating","g1016035-d11741549","$$ - $$$","Italian, French, Pizza","Restaurants",0,24,17,"http://www.perlei.sk","Úvod - Per Lei Ristorante","Úvod - Per Lei Ristorante","nan",,,,0,"non-facebook","online","True","True",,,0
"g1016035-d11809326","['Europe', 'Slovakia', 'Trencin Region', 'Dubnica nad Vahom', 'Dubnica nad Vahom Restaurants', 'Penzion & Restauracia Tematin']","Penzion & Restauracia Tematin","Unclaimed",5,"September 3, 2021","Krizna 350 Penzión & Reštaurácia Tematín sa nenachádza v Dubnici nad Váhom, ale v obci MORAVANY NAD VÁHOM, Dubnica nad Váhom 92221 Slovakia",48.60075,17.85989,"#2 of 12 Restaurants in Dubnica nad Váhom","#1 of 2 International in Dubnica nad Vahom",14,0,,"₪29 - ₪80","International",,,,"False","True",50,50,50,,11,3,0,0,0,"English (2), Russian (1), German (1), Czech (1), Slovak (9)","in rating","g1016035-d11809326","$$ - $$$","International","Restaurants",2,12,9,"https://www.facebook.com/Penzi%C3%B3n-Re%C5%A1taur%C3%A1cia-Temat%C3%ADn-424792471392/","account_exists","Penzión & Reštaurácia Tematín","October 3 , 2023",,"2.4K likes • 2.4K followers","Intro
TREND TOP 2015 a 2017: 3. najlepší penzión, wellness, rodinná atmosféra, zeleň, skvelá gastro
Page · Hotel
Krížna 350, Moravany nad Váhom, Slovakia
+421 33/797 04 79
tematin@tematin.sk
tematin.sk
Outdoor seating
Price Range · $$
Rating · 4.4 (144 Reviews)",2023,"facebook","online","True","True",4.4,144,2400
