id,country_region,rest_name,is_claimed,rating,last_review,address,latitude,longitude,popularity_top,popularity_detailed,n_reviews,travellers_choice,michelin,price_range,cuisines,meal_types,special_diets,features,working_hours,telephone,food_rating,service_rating,value_rating,atmosphere_rating,traveller_rating_5,traveller_rating_4,traveller_rating_3,traveller_rating_2,traveller_rating_1,all_languages,id_destination,status,price_category,top_tags,English,non-English,local,type,website,last_update,facebook_text,description,fb_last_update_year,website_type,website_status,fb_rating,fb_reviews,fb_followers
g1019569-d14973349,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Tyrone', 'Fivemiletown', 'Fivemiletown Restaurants', 'CoffeeHouse95']",CoffeeHouse95,Unclaimed,4.5,"July 25, 2023","95 Main Street, Fivemiletown BT75 0PG Northern Ireland",54.378162,-7.315478,#2 of 4 Restaurants in Fivemiletown,#1 of 1 Cafe in Fivemiletown,25,0,0,,Cafe,"Breakfast, Lunch, Brunch",,"Seating, Highchairs Available, Accepts Credit Cards, Takeout, Table Service",False,True,40.0,45.0,,,20,3,0.0,1.0,1.0,English (25),g1019569-d14973349,in rating,$$ - $$$,Cafe,25,0,25,Restaurants,https://www.facebook.com/coffeehouse95fmt/,"April 17, 2023","It's with a heavy heart we will be closing the door of Coffee House 95  for the last time on Friday 28th April . 
This decision wasn't made lightly 
We would like to take this opportunity to thank all our  customers , staff and family for their support over the past few years . 
We leave with good memories and great friends . 
Wishing Sharon and her team all the best in their new venture . … See more","Intro
Great food. Great vibe.
Page · Cafe
95 Main Street, Fivemiletown, United Kingdom
+44 28 8952 2876
some@email.com
Open now
In-store pickup
Price Range · $
Rating · 4.8 (114 Reviews)",2023,facebook,online,4.8,114,2100
g1019569-d2200644,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Tyrone', 'Fivemiletown', 'Fivemiletown Restaurants', 'Edfield Restaurant']",Edfield Restaurant,Unclaimed,4.5,"September 19, 2023","3 Edfield Way, Fivemiletown BT75 0QH Northern Ireland",54.378284,-7.316079,#1 of 4 Restaurants in Fivemiletown,#1 of 1 Diner in Fivemiletown,74,0,0,,"Fast Food, British, Diner","Breakfast, Lunch, Dinner","Vegetarian Friendly, Gluten Free Options","Takeout, Seating, Highchairs Available, Wheelchair Accessible, Table Service",True,True,45.0,50.0,45.0,40.0,58,6,6.0,2.0,2.0,"Spanish (1), English (73)",g1019569-d2200644,in rating,$,"Fast Food, British, Diner",73,1,73,Restaurants,https://www.facebook.com/Edfield-restaurant-fivemiletown-299563444220018/,"October, 2023","Hello everyone 
Our special this weekend ..
Back by popular demand 
Our famous .. 
Keba… See more","Intro
Page · Breakfast & Brunch Restaurant
Edfield way, Fivemiletown, United Kingdom
view.co.uk/belfast/v/edfield-restaurant
Open now
Price Range · $$",2023,facebook,online,,,1500
g1019569-d2410805,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Tyrone', 'Fivemiletown', 'Fivemiletown Restaurants', 'Rusks']",Rusks,Claimed,4.5,"July 8, 2023","476a Belfast Road, Fivemiletown BT75 0SE Northern Ireland",54.367912,-7.337036,#3 of 4 Restaurants in Fivemiletown,#2 of 3 British in Fivemiletown,38,0,0,,"Bar, British, Pub","Lunch, Drinks, Dinner",Vegetarian Friendly,"Takeout, Wheelchair Accessible, Buffet, Seating, Parking Available, Free off-street parking, Television, Highchairs Available, Full Bar, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Serves Alcohol, Accepts Credit Cards, Table Service",True,True,45.0,45.0,45.0,40.0,27,7,2.0,0.0,2.0,English (38),g1019569-d2410805,in rating,$$ - $$$,"Bar, British, Pub",38,0,38,Restaurants,http://www.facebook.com/RusksatClogherValley/,"October, 2023","Open for lunch from 12pm 
 Relax in our cosy surroundings & catch up with friends 
To book a table for the weekend
 02889521739 
O… See more","Intro
Bistro Restaurant situated in Fivemiletown at Clogher Valley Golf Club
Page · Bar
476 Belfast Road, Fivemiletown, United Kingdom
+44 28 8952 1739
some@email.com
cloghervalleygc.co.uk
Open now
Dine-in · Outdoor seating · In-store pickup
Price Range · $$
Rating · 4.8 (223 Reviews)",2023,facebook,online,4.8,223,6600
g1024119-d10163627,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Killyleagh', 'Killyleagh Restaurants', 'Peking Garden Chinese Take Away']",Peking Garden Chinese Take Away,Unclaimed,3.5,"August 25, 2021","17 Cross Street, Killyleagh BT30 9QG Northern Ireland",54.397987,-5.650693,#6 of 6 Restaurants in Killyleagh,#6 of 6 Restaurants in Killyleagh,9,0,0,,Chinese,,,,False,True,,,,,4,2,1.0,0.0,2.0,English (9),g1024119-d10163627,in rating,$,Chinese,9,0,9,Restaurants,,nan,,nan,0,no_website,no_website,,,0
g1024119-d11715639,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Killyleagh', 'Killyleagh Restaurants', 'Windflower Chinese Takeaway']",Windflower Chinese Takeaway,Unclaimed,5.0,"October 30, 2016","25A High Street, Killyleagh BT30 9QF Northern Ireland",54.40085,-5.65165,#5 of 6 Restaurants in Killyleagh,#5 of 6 Restaurants in Killyleagh,2,0,0,,,,,,False,True,,,,,2,0,0.0,0.0,0.0,English (2),g1024119-d11715639,in rating,,,2,0,2,Restaurants,,nan,,nan,0,no_website,no_website,,,0
g1024119-d11715649,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Killyleagh', 'Killyleagh Restaurants', 'killyleach Catch']",killyleach Catch,Unclaimed,4.0,"November 17, 2021","12 Catherine Street, Killyleagh BT30 9QQ Northern Ireland",54.39955,-5.651032,#4 of 6 Restaurants in Killyleagh,#1 of 1 Seafood in Killyleagh,9,0,0,,Seafood,,,,False,True,,,,,2,5,1.0,1.0,0.0,English (9),g1024119-d11715649,in rating,,Seafood,9,0,9,Restaurants,,nan,,nan,0,no_website,no_website,,,0
g1024119-d2320962,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Killyleagh', 'Killyleagh Restaurants', 'Dufferin Arms']",Dufferin Arms,Claimed,4.5,"August 2, 2023","35 High Street, Killyleagh BT30 9QF Northern Ireland",54.40124,-5.652255,#2 of 6 Restaurants in Killyleagh,#1 of 1 Bar in Killyleagh,204,0,0,₪14 - ₪121,"Irish, Bar, British, Pub, Soups","Lunch, Dinner, Brunch, Late Night, Drinks","Vegetarian Friendly, Gluten Free Options","Outdoor Seating, Seating, Parking Available, Street Parking, Free off-street parking, Television, Highchairs Available, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Reservations, Accepts Credit Cards, Table Service, Live Music",True,True,45.0,45.0,45.0,40.0,126,55,11.0,3.0,9.0,"English (203), French (1)",g1024119-d2320962,in rating,$$ - $$$,"Irish, Bar, British",203,1,203,Restaurants,http://www.dufferinarms.co.uk/,nan,,nan,0,non-facebook,online,,,0
g1024119-d2414277,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Killyleagh', 'Killyleagh Restaurants', 'Picnic Delicatessen']",Picnic Delicatessen,Claimed,4.5,"September 21, 2023","47 High Street, Killyleagh BT30 9QF Northern Ireland",54.401478,-5.652631,#3 of 6 Restaurants in Killyleagh,#3 of 6 Restaurants in Killyleagh,27,0,0,,"Cafe, British, Deli","Breakfast, Lunch, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Outdoor Seating, Seating, Highchairs Available, Table Service, Dog Friendly, Gift Cards Available",True,True,50.0,50.0,45.0,,24,1,0.0,2.0,0.0,English (27),g1024119-d2414277,in rating,$$ - $$$,"Cafe, British, Deli",27,0,27,Restaurants,http://www.picnicathome.co.uk,nan,,nan,0,non-facebook,online,,,0
g1024119-d7891852,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Killyleagh', 'Killyleagh Restaurants', 'The Smugglers Table']",The Smugglers Table,Claimed,5.0,"August 19, 2023","2-4 Bridge Street, Killyleagh BT30 9QN Northern Ireland",54.398235,-5.646434,#1 of 6 Restaurants in Killyleagh,#1 of 6 Restaurants in Killyleagh,279,0,0,,"Irish, European, British","Breakfast, Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",True,True,50.0,50.0,45.0,,231,36,8.0,1.0,3.0,"English (277), Portuguese (1), French (1)",g1024119-d7891852,in rating,$$ - $$$,"Irish, European, British",277,2,277,Restaurants,http://www.thesmugglerstable24bridgestree.epageuk.com,nan,,nan,0,non-facebook,online,,,0
g10429589-d6210861,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Antrim', 'Islandmagee', 'Islandmagee Restaurants', 'The Rinka']",The Rinka,Unclaimed,4.5,"September 19, 2023","55 Middle Road, Islandmagee BT40 3SL Northern Ireland",54.77867,-5.7074,#1 of 1 Dessert in Islandmagee,#1 of 1 Dessert in Islandmagee,142,0,0,,Cafe,Dinner,,"Takeout, Outdoor Seating, Seating, Parking Available, Wheelchair Accessible",True,True,45.0,40.0,45.0,30.0,95,35,5.0,1.0,6.0,"English (140), Indonesian (1), Spanish (1)",g10429589-d6210861,in rating,$,"Dessert, Cafe",140,2,140,Desserts,http://www.therinkha.com,nan,,nan,0,non-facebook,online,,,0
g1056083-d14940133,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Armagh', 'Tandragee', 'Tandragee Restaurants', 'The Cosy Teapot Cafe']",The Cosy Teapot Cafe,Unclaimed,4.5,"July 10, 2019","22-24 Market Street Unit 2. Smyth's Arcade, Tandragee BT62 2BW Northern Ireland",54.35401,-6.4143,#2 of 3 Restaurants in Tandragee,#1 of 1 Irish in Tandragee,3,0,0,,"Irish, Cafe, Diner, Soups","Breakfast, Lunch",,,True,True,,,,,2,1,0.0,0.0,0.0,English (3),g1056083-d14940133,in rating,,"Irish, Cafe, Diner, Soups",3,0,3,Restaurants,https://www.facebook.com/thecosyteapot/,nan,,nan,0,facebook,unavailable,,,0
g1056083-d19928668,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Armagh', 'Tandragee', 'Tandragee Restaurants', 'Golden Peony']",Golden Peony,Unclaimed,3.0,"January 21, 2020","Portadown Rd Ballymore Filling Station, Tandragee BT62 2JU Northern Ireland",,,#3 of 3 Restaurants in Tandragee,#1 of 1 Chinese in Tandragee,1,0,0,,"Chinese, Asian","Breakfast, Lunch, Dinner",,,True,True,,,,,0,0,1.0,0.0,0.0,English (1),g1056083-d19928668,in rating,,"Chinese, Asian",1,0,1,Restaurants,,nan,,nan,0,no_website,no_website,,,0
g1056083-d8418230,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Armagh', 'Tandragee', 'Tandragee Restaurants', 'Vault Bistro']",Vault Bistro,Unclaimed,4.5,"October 1, 2018","39-45 Market Street, Tandragee BT61 7BW Northern Ireland",54.34815,-6.6537,#1 of 3 Restaurants in Tandragee,#1 of 3 Restaurants in Tandragee,11,0,0,,,"Breakfast, Dinner",,"Wheelchair Accessible, Seating",False,True,,,,,4,7,0.0,0.0,0.0,English (11),g1056083-d8418230,fb_closed,$,,11,0,11,Restaurants,http://www.facebook.com/pages/Vault-Bistro/849073218475382,"March 20, 2020",,"Intro
Welcome to the vault bistro page. Formerly the northern bank, why not come and have coffee in our ba
Page · Family Style Restaurant
39-45 Market Street, Tandragee, Craigavon, United Kingdom
+44 28 3884 0686
some@email.com
Permanently Closed
Outdoor seating
Price Range · $
Rating · 4.9 (102 Reviews)",2020,facebook,online,4.9,102,2300
g1076215-d10687913,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Irvinestown', 'Irvinestown Restaurants', 'Mozzarella Fellas']",Mozzarella Fellas,Claimed,5.0,"February 16, 2020","16 Church Street, Irvinestown BT94 1EH Northern Ireland",54.470974,-7.632756,#4 of 5 Restaurants in Irvinestown,#1 of 2 Fast Food in Irvinestown,28,0,0,₪14 - ₪48,"Pizza, Fast Food",Dinner,Vegetarian Friendly,"Takeout, Parking Available, Street Parking, Free off-street parking, Wheelchair Accessible, Free Wifi, Digital Payments, Accepts Credit Cards, Family style, Gift Cards Available",True,True,50.0,50.0,50.0,,27,0,0.0,1.0,0.0,English (28),g1076215-d10687913,in rating,$,"Pizza, Fast Food, Vegetarian Friendly",28,0,28,Restaurants,http://cms.cynergy-techapps.com/promo/mozzerre,nan,,nan,0,non-facebook,online,,,0
g1076215-d1408995,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Irvinestown', 'Irvinestown Restaurants', ""Mahon's Hotel Restaurant""]",Mahon's Hotel Restaurant,Claimed,4.5,"September 4, 2023","Mill Street, Irvinestown BT74 9XX Northern Ireland",54.46895,-7.62854,#3 of 5 Restaurants in Irvinestown,#3 of 3 British in Irvinestown,86,0,0,₪24 - ₪97,"Bar, British","Late Night, Drinks, Breakfast, Lunch, Dinner",Vegetarian Friendly,"Reservations, Seating, Highchairs Available, Wheelchair Accessible, Full Bar, Serves Alcohol, Table Service",False,True,40.0,45.0,40.0,45.0,55,19,3.0,7.0,2.0,English (86),g1076215-d1408995,in rating,$$ - $$$,"Bar, British, Vegetarian Friendly",86,0,86,Restaurants,http://www.mahonshotel.co.uk/restaurant-1,nan,,nan,0,non-facebook,online,,,0
g1076215-d2637368,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Irvinestown', 'Irvinestown Restaurants', ""Molly's Bar""]",Molly's Bar,Claimed,4.5,"September 18, 2023","16 Main Street, Irvinestown BT94 1GL Northern Ireland",54.47207,-7.63378,#1 of 5 Restaurants in Irvinestown,#1 of 1 Pub in Irvinestown,163,0,0,,"Irish, Bar, Pub, British","Lunch, Dinner, Late Night","Vegetarian Friendly, Gluten Free Options","Reservations, Seating, Television, Highchairs Available, Serves Alcohol, Full Bar, Table Service, Takeout",True,True,45.0,45.0,45.0,45.0,110,27,9.0,7.0,10.0,"French (2), Dutch (1), English (159), Spanish (1)",g1076215-d2637368,in rating,$$ - $$$,"Irish, Bar, British",159,4,159,Restaurants,https://www.facebook.com/Mollys-Bar-Irvinestown-193781000647672/?ref=page_internal,"October, 2023","Chicken & Broccoli Bake
Chicken & Broccoli Pasta Bake in a creamy sauce, served with fresh market vegetables and a choice of home-cut chips or champ
Bangers & … See more","Intro
Mollys Bar is located on Main Street Irvinestown

Serving Food from 12pm Daily

Live Weekend Enter
Page · Family Style Restaurant
18 Main Street, Irvinestown, United Kingdom
+44 28 6862 8777
Open now
Dine-in · Outdoor seating · In-store pickup
Rating · 4.7 (492 Reviews)",2023,facebook,online,4.7,492,7700
g1076215-d4558659,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Irvinestown', 'Irvinestown Restaurants', 'Woodhill Hunting Lodge']",Woodhill Hunting Lodge,Claimed,4.5,"October 5, 2021","31 Enniskillen Road Enniskillen Road, BT94 1QA, Irvinestown, County Fermanagh, Northern Ireland, Irvinestown BT94 1QA Northern Ireland",54.449387,-7.630651,#2 of 5 Restaurants in Irvinestown,#2 of 3 British in Irvinestown,95,0,0,,British,"Dinner, Lunch","Vegetarian Friendly, Gluten Free Options","Takeout, Reservations, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",True,True,45.0,45.0,45.0,45.0,67,15,7.0,2.0,4.0,English (95),g1076215-d4558659,in rating,$$ - $$$,"British, Vegetarian Friendly, Gluten Free Options",95,0,95,Restaurants,http://thewoodhill.uk,nan,,nan,0,non-facebook,unavailable,,,0
g1076215-d5816262,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Irvinestown', 'Irvinestown Restaurants', 'Joe 90S Chip Shop']",Joe 90S Chip Shop,Claimed,4.5,"May 1, 2023","16 Main Street, Irvinestown BT94 1GJ Northern Ireland",54.47207,-7.63378,#5 of 5 Restaurants in Irvinestown,#2 of 2 Fast Food in Irvinestown,24,0,0,,Fast Food,"Lunch, Dinner",,Takeout,True,True,50.0,50.0,45.0,,20,2,1.0,0.0,1.0,English (24),g1076215-d5816262,in rating,$,Fast Food,24,0,24,Restaurants,https://www.facebook.com/Joe-90S-Chip-Shop-241647499212932/,"October, 2023","Happy Thursday
Do you need something to warm you up in that miserable weather? Don’t start cooking, just let us do the work!
Full menu is pinned on our page! Or look through for offers 
D… See more","Intro
🍟🔥✨
Page · Fast food restaurant
14 Main Street, Irvinestown, United Kingdom
+44 28 6862 2071
some@email.com
Closed now
In-store pickup
Price Range · $
Rating · 4.8 (27 Reviews)",2023,facebook,online,4.8,27,4500
g1076215-d8105467,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Irvinestown', 'Irvinestown Restaurants', ""Heather's Cottage Bakes, Tearoom & Bakery""]","Heather's Cottage Bakes, Tearoom & Bakery",Claimed,5.0,"August 10, 2023","33 Main Street, Irvinestown BT94 1GJ Northern Ireland",54.47245,-7.63288,#1 of 1 Bakery in Irvinestown,#1 of 1 Bakeries in Irvinestown,17,0,0,,Cafe,"Breakfast, Lunch, Brunch",,"Takeout, Seating, Wheelchair Accessible",True,True,50.0,50.0,50.0,,14,3,0.0,0.0,0.0,English (17),g1076215-d8105467,in rating,$,"Bakeries, Cafe",17,0,17,Bakeries,http://www.facebook.com/HeathersCottageBakes,"October, 2023","A f t e r n o o n  T e a
       Made to order
Includes;
victoria sponge cake… See more","Intro
We are a small family run business in the heart of Irvinestown. With serving our local community for
Page · Coffee shop
40 Main Street, Irvinestown, United Kingdom
+44 7708 311911
some@email.com
Open now
In-store pickup
Price Range · $$
Rating · 4.9 (97 Reviews)",2023,facebook,online,4.9,97,3100
g1076929-d11850323,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Londonderry', 'Ballykelly', 'Ballykelly Restaurants', 'Glen Chippy']",Glen Chippy - CLOSED,Unclaimed,,,"40 Glasgow Terrace, Ballykelly BT48 0DP Northern Ireland",55.00734,-7.3285,,,0,0,0,,British,,,,False,False,,,,,0,0,0.0,0.0,0.0,,g1076929-d11850323,closed,,British,0,0,0,,,nan,,nan,0,no_website,no_website,,,0
g1076929-d4598755,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Londonderry', 'Ballykelly', 'Ballykelly Restaurants', ""Tommy's Traditional Fish and Chips""]",Tommy's Traditional Fish and Chips,Claimed,3.0,"July 31, 2023","44 Main Street, Ballykelly BT49 9HS Northern Ireland",55.044502,-7.016523,#2 of 2 Restaurants in Ballykelly,#2 of 2 British in Ballykelly,97,0,0,,"Irish, Fast Food, British",Lunch,,"Takeout, Seating, Wheelchair Accessible, Accepts Credit Cards, Parking Available, Free off-street parking, Highchairs Available, Family style, Non-smoking restaurants",True,True,35.0,40.0,30.0,,36,10,4.0,14.0,33.0,"French (1), Spanish (1), English (95)",g1076929-d4598755,in rating,$,"Irish, Fast Food, British",95,2,95,Restaurants,http://www.tommysfishandchips.com/,nan,,nan,0,non-facebook,unavailable,,,0
