,id,actual_url,country_region,rest_name,is_claimed,rating,last_review,address,latitude,longitude,popularity_top,popularity_detailed,price_range_and_top_tags,n_reviews,travellers_choice,michelin,price_range,cuisines,meal_types,special_diets,features,working_hours,telephone,website,food_rating,service_rating,value_rating,atmosphere_rating,traveller_rating_5,traveller_rating_4,traveller_rating_3,traveller_rating_2,traveller_rating_1,all_languages,selected_language
10,g1019569-d14973349,['https://www.tripadvisor.com/Restaurant_Review-g1019569-d14973349-Reviews-CoffeeHouse95-Fivemiletown_County_Tyrone_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Tyrone', 'Fivemiletown', 'Fivemiletown Restaurants', 'CoffeeHouse95']",CoffeeHouse95, Unclaimed,4.5,"July 25, 2023","95 Main Street, Fivemiletown BT75 0PG Northern Ireland",54.378162,-7.315478,#2 of 4 Restaurants in Fivemiletown,#1 of 1 Cafe in Fivemiletown,"['$$ - $$$', 'Cafe']",(25),,,,Cafe,"Breakfast, Lunch, Brunch",,"Seating, Highchairs Available, Accepts Credit Cards, Takeout, Table Service",+ Add hours,tel:+44 28 9952 2876,"https://www.facebook.com/coffeehouse95fmt/"",""email"":""coffeehouse95fmt@gmail.com",bubble_40,bubble_45,,,20,3,0.0,1.0,1.0,"{'English (25)', 'All languages'}",ALL
11,g1019569-d2200644,['https://www.tripadvisor.com/Restaurant_Review-g1019569-d2200644-Reviews-Edfield_Restaurant-Fivemiletown_County_Tyrone_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Tyrone', 'Fivemiletown', 'Fivemiletown Restaurants', 'Edfield Restaurant']",Edfield Restaurant, Unclaimed,4.5,"September 19, 2023","3 Edfield Way, Fivemiletown BT75 0QH Northern Ireland",54.378284,-7.316079,#1 of 4 Restaurants in Fivemiletown,#1 of 1 Diner in Fivemiletown,"['$', 'Fast Food', 'British', 'Diner']",(74),,,,"Fast Food, British, Diner","Breakfast, Lunch, Dinner","Vegetarian Friendly, Gluten Free Options","['Takeout', 'Seating', 'Highchairs Available', 'Wheelchair Accessible', 'Table Service']", Closed now:  See all hours,tel:+44 28 8952 1484,https://www.facebook.com/Edfield-restaurant-fivemiletown-299563444220018/,bubble_45,bubble_50,bubble_45,bubble_40,58,6,6.0,2.0,2.0,"{'Spanish (1)', 'English (73)', 'All languages'}",ALL
12,g1019569-d2410805,['https://www.tripadvisor.com/Restaurant_Review-g1019569-d2410805-Reviews-Rusks-Fivemiletown_County_Tyrone_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Tyrone', 'Fivemiletown', 'Fivemiletown Restaurants', 'Rusks']",Rusks, Claimed,4.5,"July 8, 2023","476a Belfast Road, Fivemiletown BT75 0SE Northern Ireland",54.367912,-7.337036,#3 of 4 Restaurants in Fivemiletown,#2 of 3 British in Fivemiletown,"['$$ - $$$', 'Bar', 'British', 'Pub']",(38),,,,"Bar, British, Pub","Lunch, Drinks, Dinner",Vegetarian Friendly,"['Takeout', 'Wheelchair Accessible', 'Buffet', 'Seating', 'Parking Available', 'Free off-street parking', 'Television', 'Highchairs Available', 'Full Bar', 'Accepts Mastercard', 'Accepts Visa', 'Free Wifi', 'Reservations', 'Serves Alcohol', 'Accepts Credit Cards', 'Table Service']", Closed now:  See all hours,tel:+44 28 8952 1739,"http://www.facebook.com/RusksatClogherValley/"",""email"":""info@cloghervalleygc.co.uk",bubble_45,bubble_45,bubble_45,bubble_40,27,7,2.0,0.0,2.0,"{'English (38)', 'All languages'}",ALL
13,g1024119-d10163627,['https://www.tripadvisor.com/Restaurant_Review-g1024119-d10163627-Reviews-Peking_Garden_Chinese_Take_Away-Killyleagh_County_Down_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Killyleagh', 'Killyleagh Restaurants', 'Peking Garden Chinese Take Away']",Peking Garden Chinese Take Away, Unclaimed,3.5,"August 25, 2021","17 Cross Street, Killyleagh BT30 9QG Northern Ireland",54.397987,-5.650693,#6 of 6 Restaurants in Killyleagh,#6 of 6 Restaurants in Killyleagh,"['$', 'Chinese']",(9),,,,Chinese,[],,[],+ Add hours,tel:+44 28 4482 8266,,,,,,4,2,1.0,0.0,2.0,"{'English (9)', 'All languages'}",ALL
14,g1024119-d11715639,['https://www.tripadvisor.com/Restaurant_Review-g1024119-d11715639-Reviews-Windflower_Chinese_Takeaway-Killyleagh_County_Down_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Killyleagh', 'Killyleagh Restaurants', 'Windflower Chinese Takeaway']",Windflower Chinese Takeaway, Unclaimed,5.0,"October 30, 2016","25A High Street, Killyleagh BT30 9QF Northern Ireland",54.40085,-5.65165,#5 of 6 Restaurants in Killyleagh,#5 of 6 Restaurants in Killyleagh,,(2),,,,,[],,[],+ Add hours,tel:+44 28 4482 1113,,,,,,2,0,0.0,0.0,0.0,"{'All languages', 'English (2)'}",ALL
15,g1024119-d11715649,['https://www.tripadvisor.com/Restaurant_Review-g1024119-d11715649-Reviews-Killyleach_Catch-Killyleagh_County_Down_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Killyleagh', 'Killyleagh Restaurants', 'killyleach Catch']",killyleach Catch, Unclaimed,4.0,"November 17, 2021","12 Catherine Street, Killyleagh BT30 9QQ Northern Ireland",54.39955,-5.651032,#4 of 6 Restaurants in Killyleagh,#1 of 1 Seafood in Killyleagh,['Seafood'],(9),,,,Seafood,[],,[],+ Add hours,tel:44828444,,,,,,2,5,1.0,1.0,0.0,"{'English (9)', 'All languages'}",ALL
16,g1024119-d2320962,['https://www.tripadvisor.com/Restaurant_Review-g1024119-d2320962-Reviews-Dufferin_Arms-Killyleagh_County_Down_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Killyleagh', 'Killyleagh Restaurants', 'Dufferin Arms']",Dufferin Arms, Claimed,4.5,"August 2, 2023","35 High Street, Killyleagh BT30 9QF Northern Ireland",54.40124,-5.652255,#2 of 6 Restaurants in Killyleagh,#1 of 1 Bar in Killyleagh,"['$$ - $$$', 'Irish', 'Bar', 'British']",(204),,,₪14 - ₪121,"Irish, Bar, British, Pub, Soups","['Lunch', 'Dinner', 'Brunch', 'Late Night', 'Drinks']","Vegetarian Friendly, Gluten Free Options","['Outdoor Seating', 'Seating', 'Parking Available', 'Street Parking', 'Free off-street parking', 'Television', 'Highchairs Available', 'Serves Alcohol', 'Full Bar', 'Accepts Mastercard', 'Accepts Visa', 'Cash Only', 'Free Wifi', 'Reservations', 'Accepts Credit Cards', 'Table Service', 'Live Music']", Open now: 11:30 AM - 11:00 PM,tel:+44 28 4482 1182,"http://www.dufferinarms.co.uk/"",""email"":""dufferinarms@hotmail.co.uk",bubble_45,bubble_45,bubble_45,bubble_40,126,55,11.0,3.0,9.0,"{'English (203)', 'All languages', 'French (1)'}",ALL
17,g1024119-d2414277,['https://www.tripadvisor.com/Restaurant_Review-g1024119-d2414277-Reviews-Picnic_Delicatessen-Killyleagh_County_Down_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Killyleagh', 'Killyleagh Restaurants', 'Picnic Delicatessen']",Picnic Delicatessen, Claimed,4.5,"September 21, 2023","47 High Street, Killyleagh BT30 9QF Northern Ireland",54.401478,-5.652631,#3 of 6 Restaurants in Killyleagh,#3 of 6 Restaurants in Killyleagh,"['$$ - $$$', 'Cafe', 'British', 'Deli']",(27),,,,"Cafe, British, Deli","Breakfast, Lunch, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options","['Takeout', 'Outdoor Seating', 'Seating', 'Highchairs Available', 'Table Service', 'Dog Friendly', 'Gift Cards Available']", Closed now:  See all hours,tel:+44 28 4482 8525,"http://www.picnicathome.co.uk"",""email"":""office.picnicdeli@gmail.com",bubble_50,bubble_50,bubble_45,,24,1,0.0,2.0,0.0,"{'English (27)', 'All languages'}",ALL
18,g1024119-d7891852,['https://www.tripadvisor.com/Restaurant_Review-g1024119-d7891852-Reviews-The_Smugglers_Table-Killyleagh_County_Down_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Killyleagh', 'Killyleagh Restaurants', 'The Smugglers Table']",The Smugglers Table, Claimed,5.0,"August 19, 2023","2-4 Bridge Street, Killyleagh BT30 9QN Northern Ireland",54.398235,-5.646434,#1 of 6 Restaurants in Killyleagh,#1 of 6 Restaurants in Killyleagh,"['$$ - $$$', 'Irish', 'European', 'British']",(279),,,,"Irish, European, British","Breakfast, Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options","['Takeout', 'Reservations', 'Outdoor Seating', 'Seating', 'Parking Available', 'Highchairs Available', 'Wheelchair Accessible', 'Serves Alcohol', 'Full Bar', 'Free Wifi', 'Accepts Credit Cards', 'Table Service']", Closed now:  See all hours,tel:+44 28 4482 8158,"http://www.thesmugglerstable24bridgestree.epageuk.com"",""email"":""thesmugglerstable@hotmail.com",bubble_50,bubble_50,bubble_45,,231,36,8.0,1.0,3.0,"{'English (277)', 'All languages', 'Portuguese (1)', 'French (1)'}",ALL
19,g10429589-d6210861,['https://www.tripadvisor.com/Restaurant_Review-g10429589-d6210861-Reviews-The_Rinka-Islandmagee_County_Antrim_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Antrim', 'Islandmagee', 'Islandmagee Restaurants', 'The Rinka']",The Rinka, Unclaimed,4.5,"September 19, 2023","55 Middle Road, Islandmagee BT40 3SL Northern Ireland",54.77867,-5.7074,#1 of 1 Dessert in Islandmagee,#1 of 1 Dessert in Islandmagee,"['$', 'Dessert', 'Cafe']",(142),,,,Cafe,Dinner,,"Takeout, Outdoor Seating, Seating, Parking Available, Wheelchair Accessible", Open now: 08:00 AM - 8:00 PM,tel:+44 28 9335 3229,"http://www.therinkha.com"",""email"":""info@therinkha.com",bubble_45,bubble_40,bubble_45,bubble_30,95,35,5.0,1.0,6.0,"{'English (140)', 'Indonesian (1)', 'All languages', 'Spanish (1)'}",ALL
20,g1056083-d14940133,['https://www.tripadvisor.com/Restaurant_Review-g1056083-d14940133-Reviews-The_Cosy_Teapot_Cafe-Tandragee_County_Armagh_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Armagh', 'Tandragee', 'Tandragee Restaurants', 'The Cosy Teapot Cafe']",The Cosy Teapot Cafe, Unclaimed,4.5,"July 10, 2019","22-24 Market Street Unit 2. Smyth's Arcade, Tandragee BT62 2BW Northern Ireland",54.35401,-6.4143,#2 of 3 Restaurants in Tandragee,#1 of 1 Irish in Tandragee,"['Irish', 'Cafe', 'Diner', 'Soups']",(3),,,,"Irish, Cafe, Diner, Soups","Breakfast, Lunch",,[], Closed now:  See all hours,tel:+44 28 3884 0957,https://www.facebook.com/thecosyteapot/,,,,,2,1,0.0,0.0,0.0,"{'All languages', 'English (3)'}",ALL
21,g1056083-d19928668,['https://www.tripadvisor.com/Restaurant_Review-g1056083-d19928668-Reviews-Golden_Peony-Tandragee_County_Armagh_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Armagh', 'Tandragee', 'Tandragee Restaurants', 'Golden Peony']",Golden Peony, Unclaimed,3.0,"January 21, 2020","Portadown Rd Ballymore Filling Station, Tandragee BT62 2JU Northern Ireland",,,#3 of 3 Restaurants in Tandragee,#1 of 1 Chinese in Tandragee,"['Chinese', 'Asian']",(1),,,,"Chinese, Asian","Breakfast, Lunch, Dinner",,[], Open now: 04:30 AM - 11:00 PM,tel:+44 28 3884 9888,,,,,,0,0,1.0,0.0,0.0,"{'All languages', 'English (1)'}",ALL
22,g1056083-d8418230,['https://www.tripadvisor.com/Restaurant_Review-g1056083-d8418230-Reviews-Vault_Bistro-Tandragee_County_Armagh_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Armagh', 'Tandragee', 'Tandragee Restaurants', 'Vault Bistro']",Vault Bistro, Unclaimed,4.5,"October 1, 2018","39-45 Market Street, Tandragee BT61 7BW Northern Ireland",54.34815,-6.6537,#1 of 3 Restaurants in Tandragee,#1 of 3 Restaurants in Tandragee,['$'],(11),,,,,"Breakfast, Dinner",,"Wheelchair Accessible, Seating",+ Add hours,tel:+44 28 3884 0686,http://www.facebook.com/pages/Vault-Bistro/849073218475382,,,,,4,7,0.0,0.0,0.0,"{'English (11)', 'All languages'}",ALL
23,g1076215-d10687913,['https://www.tripadvisor.com/Restaurant_Review-g1076215-d10687913-Reviews-Mozzarella_Fellas-Irvinestown_County_Fermanagh_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Irvinestown', 'Irvinestown Restaurants', 'Mozzarella Fellas']",Mozzarella Fellas, Claimed,5.0,"February 16, 2020","16 Church Street, Irvinestown BT94 1EH Northern Ireland",54.470974,-7.632756,#4 of 5 Restaurants in Irvinestown,#1 of 2 Fast Food in Irvinestown,"['$', 'Pizza', 'Fast Food', 'Vegetarian Friendly']",(28),,,₪14 - ₪48,"Pizza, Fast Food",['Dinner'],Vegetarian Friendly,"['Takeout', 'Parking Available', 'Street Parking', 'Free off-street parking', 'Wheelchair Accessible', 'Free Wifi', 'Digital Payments', 'Accepts Credit Cards', 'Family style', 'Gift Cards Available']", Open now: 5:00 PM - 9:00 PM,tel:+44 28 6862 8838,http://cms.cynergy-techapps.com/promo/mozzerre,bubble_50,bubble_50,bubble_50,,27,0,0.0,1.0,0.0,"{'All languages', 'English (28)'}",ALL
24,g1076215-d1408995,['https://www.tripadvisor.com/Restaurant_Review-g1076215-d1408995-Reviews-Mahon_s_Hotel_Restaurant-Irvinestown_County_Fermanagh_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Irvinestown', 'Irvinestown Restaurants', ""Mahon's Hotel Restaurant""]",Mahon's Hotel Restaurant, Claimed,4.5,"September 4, 2023","Mill Street, Irvinestown BT74 9XX Northern Ireland",54.46895,-7.62854,#3 of 5 Restaurants in Irvinestown,#3 of 3 British in Irvinestown,"['$$ - $$$', 'Bar', 'British', 'Vegetarian Friendly']",(86),,,₪24 - ₪97,"Bar, British","['Late Night', 'Drinks', 'Breakfast', 'Lunch', 'Dinner']",Vegetarian Friendly,"['Reservations', 'Seating', 'Highchairs Available', 'Wheelchair Accessible', 'Full Bar', 'Serves Alcohol', 'Table Service']",+ Add hours,tel:+44 28 6862 1656,"http://www.mahonshotel.co.uk/restaurant-1"",""email"":""info@mahonshotel.co.uk",bubble_40,bubble_45,bubble_40,bubble_45,55,19,3.0,7.0,2.0,"{'All languages', 'English (86)'}",ALL
25,g1076215-d2637368,['https://www.tripadvisor.com/Restaurant_Review-g1076215-d2637368-Reviews-Molly_s_Bar-Irvinestown_County_Fermanagh_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Irvinestown', 'Irvinestown Restaurants', ""Molly's Bar""]",Molly's Bar, Claimed,4.5,"September 18, 2023","16 Main Street, Irvinestown BT94 1GL Northern Ireland",54.47207,-7.63378,#1 of 5 Restaurants in Irvinestown,#1 of 1 Pub in Irvinestown,"['$$ - $$$', 'Irish', 'Bar', 'British']",(163),,,,"Irish, Bar, Pub, British","Lunch, Dinner, Late Night","Vegetarian Friendly, Gluten Free Options","Reservations, Seating, Television, Highchairs Available, Serves Alcohol, Full Bar, Table Service, Takeout", Open now: 11:00 AM - 11:30 PM,tel:+44 28 6862 8777,https://www.facebook.com/Mollys-Bar-Irvinestown-193781000647672/?ref=page_internal,bubble_45,bubble_45,bubble_45,bubble_45,110,27,9.0,7.0,10.0,"{'French (2)', 'All languages', 'Dutch (1)', 'English (159)', 'Spanish (1)'}",ALL
26,g1076215-d4558659,['https://www.tripadvisor.com/Restaurant_Review-g1076215-d4558659-Reviews-Woodhill_Hunting_Lodge-Irvinestown_County_Fermanagh_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Irvinestown', 'Irvinestown Restaurants', 'Woodhill Hunting Lodge']",Woodhill Hunting Lodge, Claimed,4.5,"October 5, 2021","31 Enniskillen Road Enniskillen Road, BT94 1QA, Irvinestown, County Fermanagh, Northern Ireland, Irvinestown BT94 1QA Northern Ireland",54.449387,-7.630651,#2 of 5 Restaurants in Irvinestown,#2 of 3 British in Irvinestown,"['$$ - $$$', 'British', 'Vegetarian Friendly', 'Gluten Free Options']",(95),,,,British,"Dinner, Lunch","Vegetarian Friendly, Gluten Free Options","['Takeout', 'Reservations', 'Seating', 'Parking Available', 'Highchairs Available', 'Wheelchair Accessible', 'Serves Alcohol', 'Full Bar', 'Table Service']", Closed now:  See all hours,tel:+44 28 6862 1863,http://thewoodhill.uk,bubble_45,bubble_45,bubble_45,bubble_45,67,15,7.0,2.0,4.0,"{'All languages', 'English (95)'}",ALL
27,g1076215-d5816262,['https://www.tripadvisor.com/Restaurant_Review-g1076215-d5816262-Reviews-Joe_90S_Chip_Shop-Irvinestown_County_Fermanagh_Northern_Ireland.html'],"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Fermanagh', 'Irvinestown', 'Irvinestown Restaurants', 'Joe 90S Chip Shop']",Joe 90S Chip Shop, Claimed,4.5,"May 1, 2023","16 Main Street, Irvinestown BT94 1GJ Northern Ireland",54.47207,-7.63378,#5 of 5 Restaurants in Irvinestown,#2 of 2 Fast Food in Irvinestown,"['$', 'Fast Food']",(24),,,,Fast Food,"Lunch, Dinner",,Takeout, Closed now:  See all hours,tel:+44 28 6862 2071,https://www.facebook.com/Joe-90S-Chip-Shop-241647499212932/,bubble_50,bubble_50,bubble_45,,20,2,1.0,0.0,1.0,"{'English (24)', 'All languages'}",ALL
