id,country_region,rest_name,is_claimed,rating,last_review,address,latitude,longitude,popularity_top,popularity_detailed,n_reviews,travellers_choice,michelin,price_range,cuisines,meal_types,special_diets,features,working_hours,telephone,website,food_rating,service_rating,value_rating,atmosphere_rating,traveller_rating_5,traveller_rating_4,traveller_rating_3,traveller_rating_2,traveller_rating_1,all_languages,status,id_destination,price_category,top_tags,type,English,non-English,local
g1025615-d15614164,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'The PUB Pamporovo']",The PUB Pamporovo,Claimed,4.5,"March 3, 2019","Smolyan, Hotel Perelik, Pamporovo 4870 Bulgaria",41.657837,24.696638,#8 of 24 Restaurants in Pamporovo,#8 of 24 Restaurants in Pamporovo,20,0,,,"Steakhouse, Bar, Cafe, Pub, Soups","Breakfast, Lunch, Dinner, Brunch, Drinks",,Seating,True,True,,,,,,14,5.0,1.0,0.0,0.0,"English (19), Greek (1)",in rating,g1025615-d15614164,$,"Steakhouse, Bar, Cafe",Restaurants,19,1,0
g1025615-d16694682,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'The White Hart Pamporovo']",The White Hart Pamporovo,Claimed,4.0,"March 1, 2023","4870 Pamporovo, Pamporovo 4870 Bulgaria",41.65723,24.696058,#14 of 24 Restaurants in Pamporovo,#8 of 9 European in Pamporovo,37,0,,₪11 - ₪78,"Bar, European, Steakhouse, International, Pub","Lunch, Dinner",,"Serves Alcohol, Accepts Credit Cards, Table Service, Reservations, Seating",False,True,http://www.facebook.com/The-White-Hart-Pamporovo-399107645374/,45,45,40,,21,3.0,5.0,1.0,7.0,"English (35), Turkish (1), Greek (1)",in rating,g1025615-d16694682,$$ - $$$,"Steakhouse, Bar, International",Restaurants,35,2,0
g1025615-d16725297,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Rodopski Culinary Specialties']",Rodopski Culinary Specialties,Unclaimed,4.5,"August 23, 2023","4870 Pamporovo, Pamporovo 4870 Bulgaria",41.65151,24.694094,#10 of 24 Restaurants in Pamporovo,#10 of 24 Restaurants in Pamporovo,12,0,,,"Eastern European, European, Central European","Dinner, Lunch",,"Reservations, Table Service",True,True,,,,,,10,1.0,0.0,1.0,0.0,"German (1), English (10), Russian (1)",in rating,g1025615-d16725297,$$ - $$$,"European, Eastern European, Central European",Restaurants,10,2,0
g1025615-d19949485,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', ""Peter's Pub""]",Peter's Pub,Unclaimed,5.0,"March 27, 2023",Pamporovo 4703 Bulgaria,,,#12 of 24 Restaurants in Pamporovo,#5 of 8 Pub in Pamporovo,7,0,,,Pub,,,,False,True,,,,,,6,1.0,0.0,0.0,0.0,"Russian (1), English (6)",in rating,g1025615-d19949485,$,Pub,Restaurants,6,1,0
g1025615-d23092813,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Vlasov']",Vlasov,Unclaimed,,,"Mt Karamanja, Pamporovo 4870 Bulgaria",41.65525,24.69352,,,0,0,,,European,"Breakfast, Lunch, Dinner",,,True,True,https://www.facebook.com/Vlasov-HotelandRestaurant-100277544859795/,,,,,0,0.0,0.0,0.0,0.0,nan,in rating,g1025615-d23092813,,European,,0,0,0
g1025615-d23212333,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Castle Tavern Pub (mehana)']",Castle Tavern Pub (mehana),Unclaimed,5.0,"March 6, 2021","Castle 1 Tavern (mehana) Near Ski Piste, Pamporovo 4870 Bulgaria",41.656776,24.69536,#20 of 24 Restaurants in Pamporovo,#20 of 24 Restaurants in Pamporovo,1,0,,,"Steakhouse, Seafood, Turkish, Pub, Eastern European","Lunch, Dinner",,,True,True,,,,,,1,0.0,0.0,0.0,0.0,English (1),in rating,g1025615-d23212333,$,"Steakhouse, Seafood, Turkish",Restaurants,1,0,0
g1025615-d2555495,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Gloria Mar Restaurant - Pamporovo']",Gloria Mar Restaurant - Pamporovo,Claimed,4.0,"August 10, 2023","Ul. Shipka N 34 Center, Pamporovo 4870 Bulgaria",41.657993,24.69831,#4 of 24 Restaurants in Pamporovo,#4 of 24 Restaurants in Pamporovo,326,0,,₪64 - ₪170,"Pizza, Mediterranean, Steakhouse, Barbecue","Lunch, Dinner, Drinks, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Outdoor Seating, Seating, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service",True,True,http://www.gloriamar-bg.com/,40,40,35,40,189,53.0,28.0,21.0,35.0,"Italian (1), Spanish (2), German (1), English (270), Greek (4), Russian (19), Turkish (29)",in rating,g1025615-d2555495,$$ - $$$,"Steakhouse, Pizza, Mediterranean",Restaurants,270,56,0
g1025615-d3139529,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'The White Dog']",The White Dog,Claimed,4.5,"February 26, 2020","Malina, ski centre 2, Pamporovo 4870 Bulgaria",41.65547,24.682013,#7 of 24 Restaurants in Pamporovo,#5 of 9 European in Pamporovo,44,0,,,"Brew Pub, Bar, Pizza, European, Pub","Breakfast, Lunch, Dinner, Brunch",Vegetarian Friendly,"Serves Alcohol, Full Bar, Outdoor Seating, Seating",False,False,http://interskipamporovo.com,45,45,45,,30,10.0,0.0,3.0,1.0,"Turkish (3), Greek (1), Dutch (1), English (37), Russian (2)",in rating,g1025615-d3139529,$,"Brew Pub, Bar, Pizza",Restaurants,37,7,0
g1025615-d3216767,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', ""Alex's Pub At Ski Center Malina""]",Alex's Pub At Ski Center Malina,Claimed,4.5,"December 23, 2022","Malina, Pamporovo 4870 Bulgaria",41.63587,24.679113,#2 of 24 Restaurants in Pamporovo,#1 of 2 Grill in Pamporovo,190,0,,₪8 - ₪85,"Bar, European, Pub, Grill","Breakfast, Lunch, Dinner, Brunch",Vegetarian Friendly,"Outdoor Seating, Seating, Television, Serves Alcohol, Full Bar, Free Wifi, Table Service, Highchairs Available",True,True,https://www.facebook.com/pages/Alexs-Pub-1/170137659703956,45,45,45,45,125,45.0,13.0,3.0,4.0,"Russian (12), Polish (1), Spanish (1), English (163), Turkish (12), Greek (1)",in rating,g1025615-d3216767,$,"Bar, European, Grill",Restaurants,163,27,0
g1025615-d4559270,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Black Horse Restaurant']",Black Horse Restaurant,Claimed,4.0,"July 14, 2023",Pamporovo 4700 Bulgaria,41.62695,24.70351,#13 of 24 Restaurants in Pamporovo,#13 of 24 Restaurants in Pamporovo,33,0,,,,"Breakfast, Lunch",,"Outdoor Seating, Seating, Table Service",False,True,https://www.facebook.com/blackhorsepamporovo/,35,40,35,,15,9.0,2.0,2.0,5.0,"Turkish (2), Spanish (1), Greek (2), English (23), Russian (5)",in rating,g1025615-d4559270,$$ - $$$,,Restaurants,23,10,0
g1025615-d7338570,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Panorama']",Panorama,Unclaimed,4.0,"February 17, 2023","Kk Pamporovo, Studenec Pamporovo, Studenec, Pamporovo 4870 Bulgaria",41.642803,24.689735,#5 of 24 Restaurants in Pamporovo,#4 of 9 European in Pamporovo,93,0,,,European,"Lunch, Breakfast, Dinner",Vegetarian Friendly,"Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Table Service, Reservations, Outdoor Seating",False,True,http://radoweb.alle.bg,40,45,40,,51,23.0,8.0,2.0,9.0,"English (57), Spanish (2), German (1), Greek (2), Russian (13), Turkish (18)",in rating,g1025615-d7338570,$$ - $$$,"European, Vegetarian Friendly",Restaurants,57,36,0
g1025615-d8462928,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Salute']",Salute,Claimed,4.5,"February 25, 2023","Grand Monastery, Monastery 3 Monastery Complex, Pamporovo 4700 Bulgaria",41.641487,24.690735,#1 of 24 Restaurants in Pamporovo,#1 of 2 Central European in Pamporovo,118,0,,₪8 - ₪93,"European, Central European","Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options","Accepts Visa, Takeout, Reservations, Seating, Parking Available, Street Parking, Free off-street parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Cash Only, Free Wifi, Table Service, Television",True,True,http://www.facebook.com/pages/Salute-food-and-fun/884664521568409,45,50,45,,91,19.0,4.0,4.0,0.0,"French (2), Spanish (1), German (1), Swedish (1), Russian (10), English (94), Greek (1), Turkish (8)",in rating,g1025615-d8462928,$$ - $$$,"European, Central European, Vegetarian Friendly",Restaurants,94,24,0
g1025615-d9589328,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Chevermeto of Bay Panayot']",Chevermeto of Bay Panayot,Unclaimed,4.0,"March 9, 2021","Pamporovo 1, Pamporovo 4870 Bulgaria",41.657238,24.695534,#6 of 24 Restaurants in Pamporovo,#6 of 24 Restaurants in Pamporovo,63,0,,₪20 - ₪402,"Barbecue, Eastern European, International","Dinner, Lunch",Vegetarian Friendly,"Reservations, Seating, Serves Alcohol, Takeout, Highchairs Available, Table Service",False,True,http://chevermetobg.com/,45,45,45,,35,19.0,1.0,3.0,5.0,"Spanish (2), Swedish (1), Russian (9), English (33), Turkish (17), French (1)",in rating,g1025615-d9589328,$$ - $$$,"International, Barbecue, Eastern European",Restaurants,33,30,0
g1025615-d9715473,"['Europe', 'Bulgaria', 'Smolyan Province', 'Pamporovo', 'Pamporovo Restaurants', 'Mehana']",Mehana,Claimed,4.0,"January 17, 2021","Manastira Grand Manastira, Pamporovo 4700 Bulgaria",41.64075,24.689909,#18 of 24 Restaurants in Pamporovo,#3 of 6 Eastern European in Pamporovo,14,0,,₪13 - ₪64,"Turkish, European, Gastropub, Eastern European, Barbecue, Greek","Breakfast, Lunch, Dinner, Brunch",,"Reservations, Validated Parking, Highchairs Available, Wheelchair Accessible, Accepts Mastercard, Accepts Visa, Free Wifi, Seating, Accepts Credit Cards, Table Service",True,True,,,,,,6,5.0,1.0,0.0,2.0,"Spanish (1), English (11), French (1), Turkish (1)",in rating,g1025615-d9715473,$$ - $$$,"Barbecue, European, Turkish",Restaurants,11,3,0
g1050095-d12562820,"['Europe', 'Bulgaria', 'Kyustendil Province', 'Dupnitsa', 'Dupnitsa Restaurants', ""Leonardo Ristorante D'Italia""]",Leonardo Ristorante D'Italia,Unclaimed,4.0,"September 30, 2018","Ul. Cercovna 3, Dupnitsa 2600 Bulgaria",42.26484,23.10981,#5 of 7 Restaurants in Dupnitsa,#3 of 4 Italian in Dupnitsa,3,0,,,Italian,,,,False,True,http://www.facebook.com/Leonardo-Ristorante-DItalia-515884688616748/,,,,,1,1.0,1.0,0.0,0.0,"Italian (3), English",in rating,g1050095-d12562820,,Italian,Restaurants,0,3,0
g1050095-d12820059,"['Europe', 'Bulgaria', 'Kyustendil Province', 'Dupnitsa', 'Dupnitsa Restaurants', 'Amorone']",Amorone,Unclaimed,3.0,"November 22, 2019","Ulitsa Georgi Benkovski 4, Dupnitsa 2600 Bulgaria",42.26546,23.11886,#7 of 7 Restaurants in Dupnitsa,#4 of 4 Italian in Dupnitsa,2,0,,,Italian,,,,False,True,,,,,,0,1.0,0.0,1.0,0.0,"Italian (1), English (1)",in rating,g1050095-d12820059,,Italian,Restaurants,1,1,0
g1050095-d13539368,"['Europe', 'Bulgaria', 'Kyustendil Province', 'Dupnitsa', 'Dupnitsa Restaurants', 'Pizza Al Castello']",Pizza Al Castello,Unclaimed,5.0,"July 1, 2021","PK Javorov 21-3, Dupnitsa 2600 Bulgaria",42.264187,23.1077,#2 of 7 Restaurants in Dupnitsa,#2 of 4 Italian in Dupnitsa,4,0,,₪4 - ₪35,Italian,"Breakfast, Lunch, Dinner",,,True,True,,,,,,3,1.0,0.0,0.0,0.0,"English (2), German (1), Italian (1)",in rating,g1050095-d13539368,$,Italian,Restaurants,2,2,0
g1050095-d15082394,"['Europe', 'Bulgaria', 'Kyustendil Province', 'Dupnitsa', 'Dupnitsa Restaurants', 'Billi Pizza']",Billi Pizza,Unclaimed,4.0,"June 14, 2023","2600 Tsentar, Dupnitsa 2600 Bulgaria",,,#4 of 7 Restaurants in Dupnitsa,#4 of 7 Restaurants in Dupnitsa,2,0,,,,Lunch,,,True,True,,,,,,0,2.0,0.0,0.0,0.0,English (2),in rating,g1050095-d15082394,,,Restaurants,2,0,0
g1050095-d19713974,"['Europe', 'Bulgaria', 'Kyustendil Province', 'Dupnitsa', 'Dupnitsa Restaurants', 'Restaurant Condor']",Restaurant Condor,Unclaimed,5.0,"December 14, 2019","Vihren Str 3, Dupnitsa 2600 Bulgaria",42.263767,23.116722,#6 of 7 Restaurants in Dupnitsa,#6 of 7 Restaurants in Dupnitsa,1,0,,,,,,,False,True,http://bg-bg.facebook.com/pages/%D0%A0%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%B0%D0%BD%D1%82-%D0%9A%D0%BE%D0%BD%D0%B4%D0%BE%D1%80%D0%B3%D1%80%D0%94%D1%83%D0%BF%D0%BD%D0%B8%D1%86%D0%B0/347036765360011,,,,,1,0.0,0.0,0.0,0.0,English (1),in rating,g1050095-d19713974,,,Restaurants,1,0,0
g1050095-d7087695,"['Europe', 'Bulgaria', 'Kyustendil Province', 'Dupnitsa', 'Dupnitsa Restaurants', 'Pizzeria Napoli']",Pizzeria Napoli,Unclaimed,4.0,"November 11, 2018","Ulitsa ""Sv. Ivan Rilski"" 75, Dupnitsa 2600 Bulgaria",42.26139,23.10724,#1 of 7 Restaurants in Dupnitsa,#1 of 1 Pizza in Dupnitsa,27,0,,,"Italian, Pizza","Dinner, Lunch","Vegetarian Friendly, Vegan Options","Reservations, Outdoor Seating, Seating, Delivery, Takeout, Serves Alcohol, Table Service",False,True,,40,30,40,,12,9.0,3.0,2.0,1.0,"German (1), Italian (3), English (22), French (1)",in rating,g1050095-d7087695,$$ - $$$,"Italian, Pizza, Vegetarian Friendly",Restaurants,22,5,0
g1061549-d10058266,"['Europe', 'Bulgaria', 'Vidin Province', 'Belogradchik', 'Belogradchik Restaurants', 'Pri Ivan']",Pri Ivan,Claimed,4.5,"September 22, 2023","Yuri Gagarin 3, Belogradchik 3900 Bulgaria",43.625492,22.691208,#1 of 3 Restaurants in Belogradchik,#1 of 3 Eastern European in Belogradchik,113,0,,₪42 - ₪424,"European, Eastern European, Central European","Breakfast, Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Outdoor Seating, Seating, Parking Available, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",True,True,http://priivan.com,45,45,45,,96,10.0,3.0,3.0,1.0,"Spanish (6), Polish (1), German (2), Serbian (6), Italian (5), French (7), Russian (3), Portuguese (1), Dutch (1), English (81)",in rating,g1061549-d10058266,$$$$,"European, Eastern European, Central European",Restaurants,81,32,0
g1061549-d12357659,"['Europe', 'Bulgaria', 'Vidin Province', 'Belogradchik', 'Belogradchik Restaurants', 'Tavern Markashnitsa']",Tavern Markashnitsa,Unclaimed,3.5,"August 21, 2023","Vasil Levski, Belogradchik 2307 Bulgaria",43.62452,22.69165,#3 of 3 Restaurants in Belogradchik,#3 of 3 Restaurants in Belogradchik,19,0,,,Eastern European,"Lunch, Dinner",Vegetarian Friendly,Table Service,True,False,,40,40,45,,6,6.0,4.0,2.0,1.0,"French (2), Spanish (1), Russian (1), German (2), English (13)",in rating,g1061549-d12357659,$,"Eastern European, Vegetarian Friendly",Restaurants,13,6,0
g1061549-d8673032,"['Europe', 'Bulgaria', 'Vidin Province', 'Belogradchik', 'Belogradchik Restaurants', 'Mislen Kamak']",Mislen Kamak,Unclaimed,4.0,"October 6, 2023","Belogradchik 102, Belogradchik 3900 Bulgaria",43.62321,22.689146,#2 of 3 Restaurants in Belogradchik,#2 of 3 Eastern European in Belogradchik,46,0,,,"European, Eastern European",Dinner,,"Outdoor Seating, Seating, Takeout, Reservations, Parking Available, Serves Alcohol, Wine and Beer, Table Service, Drive Thru, Dog Friendly, Family style",False,False,,40,35,40,,21,12.0,5.0,6.0,2.0,"Polish (1), Greek (1), French (4), Russian (1), English (28), Spanish (2), Serbian (1), Italian (4), Dutch (1), German (2), Turkish (1)",in rating,g1061549-d8673032,$,"European, Eastern European",Restaurants,28,18,0
g1071701-d10593752,"['Europe', 'Bulgaria', 'Burgas Province', 'Chernomorets', 'Chernomorets Restaurants', 'Restaurant ""Starfish""']","Restaurant ""Starfish""",Claimed,4.5,"August 17, 2023","Morska str. 5, Chernomorets 8142 Bulgaria",42.447517,27.640833,#1 of 12 Restaurants in Chernomorets,#1 of 5 Mediterranean in Chernomorets,57,0,,₪22 - ₪65,"Seafood, Mediterranean, European","Dinner, Lunch","Vegetarian Friendly, Vegan Options","Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Serves Alcohol, Full Bar, Cash Only, Free Wifi, Table Service, Takeout",True,True,,45,40,45,,40,6.0,7.0,2.0,2.0,"French (2), Polish (1), Slovak (1), Spanish (1), German (1), Danish (1), Russian (4), English (46)",in rating,g1071701-d10593752,$$ - $$$,"Seafood, Mediterranean, European",Restaurants,46,11,0
g1071701-d10686789,"['Europe', 'Bulgaria', 'Burgas Province', 'Chernomorets', 'Chernomorets Restaurants', 'Ivet']",Ivet,Unclaimed,4.0,"September 11, 2022","Ribarska 1, Chernomorets 8142 Bulgaria",42.44661,27.63822,#6 of 12 Restaurants in Chernomorets,#2 of 3 Eastern European in Chernomorets,15,0,,,"Mediterranean, Eastern European","Dinner, Lunch, Brunch",,"Reservations, Seating, Table Service",False,True,https://www.facebook.com/restorantivet/,,,,,9,1.0,1.0,4.0,0.0,"German (1), Russian (1), English (12), Slovak (1)",in rating,g1071701-d10686789,$$ - $$$,"Mediterranean, Eastern European",Restaurants,12,3,0
g1071701-d10700276,"['Europe', 'Bulgaria', 'Burgas Province', 'Chernomorets', 'Chernomorets Restaurants', 'Flores Beach Restaurant']",Flores Beach Restaurant,Claimed,4.0,"August 8, 2020","ul. Bratislava Flores Garden Beach & Spa Residence, Chernomorets 8149 Bulgaria",42.440674,27.646986,#10 of 12 Restaurants in Chernomorets,#2 of 2 Greek in Chernomorets,2,0,,,"French, European, Greek, Russian",,,,False,True,http://www.floresgarden.ru,,,,,0,2.0,0.0,0.0,0.0,"French (2), English",in rating,g1071701-d10700276,,"French, European, Greek, Russian",Restaurants,0,2,0
g1071701-d10717776,"['Europe', 'Bulgaria', 'Burgas Province', 'Chernomorets', 'Chernomorets Restaurants', 'Restaurant Morsko Oko']",Restaurant Morsko Oko,Claimed,4.0,"August 23, 2023","Morska str. 21, Chernomorets 8142 Bulgaria",42.447807,27.639421,#4 of 12 Restaurants in Chernomorets,#2 of 4 European in Chernomorets,26,0,,,"Seafood, Mediterranean, European","Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly, Vegan Options","Takeout, Reservations, Outdoor Seating, Table Service, Seating",True,True,,40,40,40,,11,10.0,3.0,2.0,0.0,"Slovak (1), Italian (1), German (2), Czech (2), French (3), Russian (4), English (13)",in rating,g1071701-d10717776,$,"Seafood, Mediterranean, European",Restaurants,13,13,0
g1071701-d10820458,"['Europe', 'Bulgaria', 'Burgas Province', 'Chernomorets', 'Chernomorets Restaurants', 'Dzhanka Del Mar']",Dzhanka Del Mar,Unclaimed,3.0,"August 25, 2021","Chervenka Beach, Chernomorets 8142 Bulgaria",42.444263,27.638319,#12 of 12 Restaurants in Chernomorets,#1 of 1 Barbecue in Chernomorets,11,0,,,"Mediterranean, Barbecue","Lunch, Dinner",,"Reservations, Seating, Table Service",True,True,https://www.facebook.com/djankadelmar/,35,35,35,,4,2.0,1.0,0.0,4.0,"English (9), French (1), Dutch (1)",in rating,g1071701-d10820458,$$ - $$$,"Mediterranean, Barbecue",Restaurants,9,2,0
