id,country_region,rest_name,is_claimed,rating,last_review,address,latitude,longitude,popularity_top,popularity_detailed,n_reviews,travellers_choice,michelin,price_range,cuisines,meal_types,special_diets,features,working_hours,telephone,food_rating,service_rating,value_rating,atmosphere_rating,traveller_rating_5,traveller_rating_4,traveller_rating_3,traveller_rating_2,traveller_rating_1,all_languages,id_destination,status,price_category,top_tags,English,non-English,local,type,website,last_update,facebook_text,description,fb_last_update_year,website_type,website_status,fb_rating,fb_reviews,fb_followers,rand,Open-closed,Comment
g189934-d1027846,"['Europe', 'Finland', 'Uusimaa', 'Helsinki', 'Helsinki Restaurants', 'Grand Shanghai']",Grand Shanghai,Unclaimed,3,"January 4, 2020","Mikonkatu 8, Helsinki Finland",60.169754,24.944794,"#916 of 1,407 Restaurants in Helsinki",#188 of 247 Asian in Helsinki,44,0,0,,"Chinese, Asian","Lunch, Dinner",Vegetarian Friendly,"Takeout, Reservations, Seating, Serves Alcohol, Table Service",False,True,30,35,35,30,4,16,15,4,5,"Swedish (1), Chinese (Sim.) (1), Russian (5), Finnish (4), English (32), Italian (1)",g189934-d1027846,in rating,$$ - $$$,"Chinese, Asian, Shanghai",32,12,4,Restaurants,,,,,0,no_website,no_website,,,0,0.820681266253814,Open,Has been renamed very long time ago
g186478-d17781363,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Newcastle', 'Newcastle Restaurants', 'The Library Lounge']",The Library Lounge,Claimed,4.5,"August 15, 2021","29 Main Street, Newcastle BT33 0AD Northern Ireland",54.21431,-5.88865,#16 of 35 Restaurants in Newcastle,#12 of 21 British in Newcastle,32,0,0,?10 - ?73,"Irish, British, European","Lunch, Dinner","Vegetarian Friendly, Vegan Options","Reservations, Seating, Highchairs Available, Serves Alcohol, Accepts Credit Cards, Table Service",False,True,45,45,45,,26,4,0,1,1,English (32),g186478-d17781363,in rating,$$ - $$$,"Irish, European, British",32,0,32,Restaurants,http://www.donardhotel.com/,,,,0,non-facebook,unavailable,,,0,0.265579216415063,Open,
g274923-d8285072,"['Europe', 'Slovakia', 'Banska Bystrica Region', 'Banska Bystrica', 'Banska Bystrica Restaurants', 'Mamma Mia']",Mamma Mia,Claimed,4,"August 15, 2021","Zvolenska Cesta E77, Banska Bystrica 974 05 Slovakia",48.70918,19.13805,#27 of 95 Restaurants in Banska Bystrica,#27 of 95 Restaurants in Banska Bystrica,36,0,,,"Italian, Steakhouse, Pizza, European","Lunch, Dinner, Breakfast",,"Reservations, Seating, Wheelchair Accessible, Table Service",True,True,40,40,40,,17,7,6,3,3,"English (14), Slovak (21), Czech (1)",g274923-d8285072,in rating,$$ - $$$,"Italian, Steakhouse, Pizza",14,22,21,Restaurants,http://www.mamma-mia-restaurant.com,,,,0,non-facebook,unavailable,,,0,0.140421751188114,Open,
g1091091-d2153831,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Tyrone', 'Newtownstewart', 'Newtownstewart Restaurants', 'Ten Square']",Ten Square,Claimed,4,"February 19, 2019","44B Main Street, Newtownstewart Northern Ireland",54.71831,-7.37703,#1 of 1 Restaurant in Newtownstewart,#1 of 1 International in Newtownstewart,60,0,0,,"International, British","Lunch, Dinner, Late Night",,"Reservations, Seating, Serves Alcohol, Highchairs Available, Table Service",False,False,40,40,40,40,27,16,5,9,3,English (60),g1091091-d2153831,in rating,$$ - $$$,"International, British",60,0,60,Restaurants,https://www.facebook.com/tensquarerestaurant/,"January 20, 2015",,"Intro
Page · British Restaurant
Omagh, United Kingdom
+44 28 8166 1900
tensquare.co.uk
Open now
Outdoor seating
Price Range · $
Rating · 5.0 (6 Reviews)",2015,facebook,online,5,6,927,0.0717943487688899,Closed,
g189949-d3294586,"['Europe', 'Finland', 'Southwest Finland', 'Turku', 'Turku Restaurants', 'Lonestar']",Lonestar,Unclaimed,3.5,"July 7, 2021","Humalistonkatu 5, Turku 20100 Finland",60.450497,22.259855,#111 of 297 Restaurants in Turku,#26 of 48 Pub in Turku,48,0,0,,"Bar, Barbecue, Pub","Dinner, Lunch",,"Reservations, Seating, Wheelchair Accessible, Table Service, Takeout",True,False,40,35,35,,9,19,8,8,4,"English (17), Finnish (29), Spanish (1), German (1)",g189949-d3294586,in rating,$$ - $$$,"Bar, Barbecue, Pub",17,31,29,Restaurants,,,,,0,no_website,no_website,,,0,0.190017653862014,Open,
g277807-d7646921,"['Europe', 'Slovakia', 'Presov Region', 'Levoca', 'Levoca Restaurants', 'Restaurant Slovenka']",Restaurant Slovenka,Claimed,3.5,"September 21, 2019","Namestie majstra Pavla 62, Levoca 054 01 Slovakia",49.02766,20.59049,#12 of 15 Restaurants in Levoca,#3 of 3 International in Levoca,40,0,,?25 - ?55,"International, Eastern European, European","Dinner, Lunch",,"Reservations, Buffet, Parking Available, Street Parking, Television, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Cash Only, Free Wifi, Takeout, Outdoor Seating, Seating, Table Service",True,True,40,40,40,,11,13,3,6,7,"Portuguese (1), Czech (7), Polish (6), Russian (3), Slovak (5), Italian (1), German (2), English (13), Hungarian (2)",g277807-d7646921,in rating,$$ - $$$,"International, European, Eastern European",13,27,5,Restaurants,https://www.facebook.com/RestauraciaSlovenka/,"December 13, 2013","Pondelok:16.12.2013
Hlavné jedlo
1.Bratislavske Br.plece110g,knedle160g(1,3,7)… See more","Intro
Reštaurácia Slovenka je zariadená v typicky slovenskom štýle s kapacitou 63 miest. Jedálny lístok pon
Page · Restaurant
Námestie Majstra Pavla 62, Levoca, Slovakia
+421 910 112 302
restauraciaslovenka.sk
Price Range · $
Rating · 5.0 (20 Reviews)",2013,facebook,online,5,20,118,0.997685808455572,Closed,
g189949-d4716688,"['Europe', 'Finland', 'Southwest Finland', 'Turku', 'Turku Restaurants', 'Orikedon Taverna']",Orikedon Taverna,Unclaimed,4,"November 10, 2021","Vanha Tampereentie 137, Turku 20380 Finland",60.477642,22.295834,#77 of 297 Restaurants in Turku,#8 of 38 Pizza in Turku,32,0,0,,"Turkish, Pizza, Fast Food, Grill","Lunch, Dinner",,"Seating, Table Service",True,True,35,35,35,,10,14,5,0,3,"Russian (1), Dutch (1), English (11), Finnish (19)",g189949-d4716688,in rating,$,"Pizza, Fast Food, Turkish",11,21,19,Restaurants,http://www.orikedontaverna.fi/,,,,0,non-facebook,unavailable,,,0,0.607979412190616,Open,
g1751439-d2487668,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Armagh', 'Moira', 'Moira Restaurants', 'Rendezvous']",Rendezvous,Unclaimed,3.5,"June 11, 2021","1 Glenavy Road, Moira BT67 0LT Northern Ireland",54.49494,-6.20934,#3 of 4 Restaurants in Moira,#2 of 2 British in Moira,51,0,0,,British,"Dinner, Breakfast, Lunch, Brunch",Vegetarian Friendly,"Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible",True,True,40,40,40,35,20,12,11,2,6,English (51),g1751439-d2487668,in rating,$,"British, Vegetarian Friendly",51,0,51,Restaurants,http://www.facebook.com/CafeRendezvousMoria/,"September 13, 2020","How are you! We have new Facebook page, name is route 26 restaurant! All welcome!!!!! Thanks you very much again thanks","Intro
Cafe Rendezvous is local coffee shop. We do fresh homemade scones, traybakes and desserts. Serving,
Page · British Restaurant
1 Glenavy Rd, Moira, United Kingdom
+44 28 9261 1136
tripadvisor.co.uk/Restaurant_Review-g1751439-d2487668-Reviews-Rendezvous-Moira_County_Armagh_Northern_Ireland.html
Open now
Outdoor seating
Price Range · $$
Rating · 4.6 (76 Reviews)",2020,facebook,online,4.6,76,511,0.0150032555684447,Closed,
g186470-d7893416,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'YAHI']",YAHI,Claimed,4,"August 13, 2020","Great Victoria Street Great Northern Mall, Belfast BT2 7AB Northern Ireland",54.594368,-5.934957,#27 of 172 Quick Bites in Belfast,#27 of 172 Quick Bites in Belfast,137,0,0,?10 - ?39,"Irish, Cafe","Lunch, Breakfast, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Seating, Highchairs Available, Wheelchair Accessible, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards",True,True,45,35,35,,69,31,15,11,11,"German (1), English (135), Italian (1)",g186470-d7893416,in rating,$$ - $$$,"Quick Bites, Irish, Cafe",135,2,135,Quick Bites,http://www.facebook.com/YAHIcafe,,,,0,facebook,unavailable,,,0,0.167473034234718,Closed,
g612451-d6561451,"['Europe', 'Slovakia', 'Banska Bystrica Region', 'Banska Stiavnica', 'Banska Stiavnica Restaurants', 'Mestianska Pizzeria']",Mestianska Pizzeria,Unclaimed,2.5,"May 28, 2021","Andrej Kmeta 2, Banska Stiavnica Slovakia",48.458668,18.893356,#29 of 30 Restaurants in Banska Stiavnica,#4 of 4 Pizza in Banska Stiavnica,58,0,,,Pizza,"Lunch, Dinner",,"Delivery, Takeout, Table Service, Seating",False,False,35,30,35,,8,11,7,10,22,"English (15), German (1), Polish (1), Slovak (39), Italian (1), Serbian (1)",g612451-d6561451,in rating,$$ - $$$,Pizza,15,43,39,Restaurants,http://www.mestianska.sk,,,,0,non-facebook,unavailable,,,0,0.31240548635833,Open,It was renamed
g189932-d10625051,"['Europe', 'Finland', 'Uusimaa', 'Espoo', 'Espoo Restaurants', 'Restaurant Fageli']",Restaurant Fågeli,Unclaimed,4,"July 30, 2020","Tiklinkuja 1, Espoo 02660 Finland",60.23373,24.813768,#27 of 220 Restaurants in Espoo,#27 of 220 Restaurants in Espoo,35,0,0,,,,,"Takeout, Reservations",False,True,45,45,40,,15,15,2,1,2,"English (8), Finnish (27)",g189932-d10625051,in rating,$$ - $$$,,8,27,27,Restaurants,http://www.facebook.com/ravintola.fogeli/,,,,0,facebook,unavailable,,,0,0.925982628017664,Open,
g189934-d15222487,"['Europe', 'Finland', 'Uusimaa', 'Helsinki', 'Helsinki Restaurants', 'Nude']",Nude,Claimed,4,"December 16, 2021","Kasarmikatu 44, Helsinki 00130 Finland",60.166286,24.947546,"#223 of 1,407 Restaurants in Helsinki",#8 of 33 Street Food in Helsinki,60,0,0,?39 - ?146,"Contemporary, Fusion, Street Food","Dinner, Late Night, Drinks",Vegetarian Friendly,"Reservations, Seating, Serves Alcohol, Table Service, Gift Cards Available",True,True,40,35,30,,31,13,7,6,3,"Swedish (1), Greek (1), French (3), English (36), Finnish (18), Spanish (1)",g189934-d15222487,in rating,$$ - $$$,"Contemporary, Fusion, Street Food",36,24,18,Restaurants,http://www.nude-ravintola.fi,,,,0,non-facebook,unavailable,,,0,0.590161961968988,Closed,
g189934-d739457,"['Europe', 'Finland', 'Uusimaa', 'Helsinki', 'Helsinki Restaurants', 'Minos']",Minos,Unclaimed,3,"April 20, 2021","Urho Kekkosen katu 1 A, Helsinki 00100 Finland",60.16907,24.93378,"#1,300 of 1,407 Restaurants in Helsinki","#1,300 of 1,407 Restaurants in Helsinki",132,0,0,,"Mediterranean, European, Greek",Dinner,"Vegetarian Friendly, Gluten Free Options","Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",False,True,35,30,30,30,14,36,33,21,28,"Norwegian (1), Japanese (1), Swedish (1), English (92), Chinese (Trad.) (2), Finnish (27), Spanish (1), Russian (7)",g189934-d739457,in rating,$$ - $$$,"Mediterranean, European, Greek",92,40,27,Restaurants,http://www.minos.fi,,,,0,non-facebook,unavailable,,,0,0.200305052334443,Closed,
g189934-d3625208,"['Europe', 'Finland', 'Uusimaa', 'Helsinki', 'Helsinki Restaurants', 'Steam Coffee']",Steam Coffee,Unclaimed,3.5,"January 18, 2020","Kaisaniemenkatu 3, Helsinki 00100 Finland",60.17112,24.94707,#100 of 128 Quick Bites in Helsinki,#100 of 128 Quick Bites in Helsinki,46,0,0,,Cafe,"Breakfast, Lunch, Dinner",,"Seating, Takeout, Wheelchair Accessible",True,True,40,40,35,,12,13,10,6,5,"Italian (2), Russian (6), Japanese (1), Finnish (9), French (1), English (27)",g189934-d3625208,in rating,$$ - $$$,"Quick Bites, Cafe",27,19,9,Quick Bites,http://www.steamcoffee.fi,,,,0,non-facebook,unavailable,,,0,0.639218243770301,Closed,
g445040-d3842902,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Antrim', 'Lisburn', 'Lisburn Restaurants', 'Arora Cafe']",Arora Cafe,Claimed,4,"August 22, 2020","Unit A17 Bow Street Mall Bow Street Bow Street Mall, Lisburn BT28 1AW Northern Ireland",54.51139,-6.04722,#4 of 9 Coffee & Tea in Lisburn,#4 of 9 Coffee & Tea in Lisburn,51,0,0,,"Cafe, British","Breakfast, Lunch, Dinner",Vegetarian Friendly,"Seating, Highchairs Available, Takeout, Wheelchair Accessible",True,True,45,45,40,40,26,14,4,5,2,English (51),g445040-d3842902,in rating,$$ - $$$,"Cafe, British, Vegetarian Friendly",51,0,51,Coffee & Tea,https://www.facebook.com/AroraCafe/,,,,0,facebook,unavailable,,,0,0.546995578799397,Closed,
g186470-d8310273,"['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Piggly wiggly']",Piggly wiggly,Claimed,5,"June 5, 2021","Unit -2 Library Court 402 Upper Newtownards Road Ballyhackamore, Castlereagh, Belfast BT4 3GE Northern Ireland",54.595276,-5.8662,#66 of 689 Restaurants in Belfast,#29 of 171 Irish in Belfast,116,0,0,,"Irish, Cafe, British","Breakfast, Lunch, Dinner, Brunch","Vegetarian Friendly, Gluten Free Options","Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Parking Available, Table Service",True,True,50,50,50,,106,7,1,1,1,"Italian (1), English (115)",g186470-d8310273,in rating,$$ - $$$,"Irish, Cafe, British",115,1,115,Restaurants,http://www.facebook.com/pigglywigglys/timeline,,no_posts,"About
See all
1 person likes this
1 person follows this
+44 28 9067 2114
Price range
  · $$
Restaurant · Cafe · Caterer",0,facebook,online,,,0,0.406251558568329,Closed,
g499087-d10620592,"['Europe', 'Bulgaria', 'Varna Province', 'Golden Sands', 'Golden Sands Restaurants', 'Ambassador Hotel']",Ambassador Hotel,Unclaimed,4,"September 27, 2019","Close to the Beach, Golden Sands Bulgaria",43.279095,28.04075,#19 of 41 Restaurants in Golden Sands,#19 of 41 Restaurants in Golden Sands,43,0,,,,"Breakfast, Dinner",Vegetarian Friendly,"Reservations, Seating, Table Service, Serves Alcohol",False,False,40,45,40,,23,12,0,5,3,"Spanish (1), Czech (1), Polish (2), Italian (1), Dutch (1), English (15), Danish (2), Norwegian (2), Russian (13), French (1), German (3), Finnish (1)",g499087-d10620592,in rating,$$ - $$$,Vegetarian Friendly,15,28,0,Restaurants,,,,,0,no_website,no_website,,,0,0.223039962816983,Open,
g274933-d9980675,"['Europe', 'Slovakia', 'Nitra Region', 'Nitra', 'Nitra Restaurants', 'Elisabeth Patisserie']",Elisabeth Patisserie,Claimed,4.5,"October 23, 2021","Kupecka 16, Nitra 949 01 Slovakia",48.31337,18.086178,#4 of 14 Coffee & Tea in Nitra,#4 of 14 Coffee & Tea in Nitra,36,0,,,"Cafe, Healthy, French, Fast Food","Drinks, Breakfast, Brunch",,"Reservations, Highchairs Available, Serves Alcohol, Full Bar, Digital Payments, Free Wifi, Accepts Credit Cards, Takeout, Outdoor Seating, Seating, Wheelchair Accessible, Table Service",True,True,45,45,45,,26,7,1,0,2,"English (10), Slovak (19), Russian (3), Czech (1), Italian (1), French (2)",g274933-d9980675,in rating,$$ - $$$,"Bakeries, French, Cafe",10,26,19,Coffee & Tea,http://www.elisabethpatisserie.sk/,,,,0,non-facebook,unavailable,,,0,0.541062801145017,Closed,
g274924-d4177534,"['Europe', 'Slovakia', 'Bratislava Region', 'Bratislava', 'Bratislava Restaurants', 'Divna muza']",Divna muza,Claimed,4,"August 28, 2018","Radnichna 1 Hlavne Namestie, Bratislava 811 01 Slovakia",48.143604,17.108786,"#206 of 1,028 Restaurants in Bratislava",#29 of 45 Mediterranean in Bratislava,54,0,,?20 - ?100,"Pizza, European, International, Mediterranean","Dinner, Drinks, Lunch",,"Takeout, Outdoor Seating, Buffet, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Parking Available, Street Parking, Free off-street parking, Digital Payments, Cash Only, Accepts Discover, Table Service, Accepts Credit Cards",True,True,40,40,40,45,29,15,5,1,4,"Portuguese (1), Slovak (18), Polish (2), Norwegian (1), Russian (1), German (1), English (23), Turkish (1), Spanish (1), Italian (3), French (2)",g274924-d4177534,in rating,$$ - $$$,"Pizza, International, Mediterranean",23,31,18,Restaurants,http://www.divnamuza.sk,,,,0,non-facebook,unavailable,,,0,0.280255705816671,Closed,
g295392-d8286706,"['Europe', 'Bulgaria', 'Varna Province', 'Varna', 'Varna Restaurants', 'Sardinia']",Sardinia,Claimed,3,"August 15, 2019","Beach Alley, Varna 9000 Bulgaria",43.205795,27.931229,#273 of 294 Restaurants in Varna,#49 of 52 Seafood in Varna,36,0,,?42 - ?127,"Seafood, Mediterranean","Lunch, Dinner",,"Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Free off-street parking, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Discover, Table Service, Accepts Credit Cards",True,True,30,30,25,,7,7,6,4,12,"Greek (1), Norwegian (1), Italian (6), English (15), French (3), Russian (3), Dutch (1), German (6)",g295392-d8286706,in rating,$$ - $$$,"Seafood, Mediterranean",15,21,0,Restaurants,,,,,0,no_website,no_website,,,0,0.306931513594463,Closed,
g635767-d7995377,"['Europe', 'Bulgaria', 'Burgas Province', 'Elenite', 'Elenite Restaurants', 'Regatta']",Regatta,Unclaimed,4.5,"August 3, 2020","8256 Saint Vlas Paradise Beach, Elenite Bulgaria",42.702988,27.79625,#1 of 6 Restaurants in Elenite,#1 of 3 Mediterranean in Elenite,33,0,,,Mediterranean,"Lunch, Breakfast, Dinner",,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Table Service",True,True,45,45,40,,21,9,1,0,2,"Norwegian (1), Russian (18), French (1), English (13)",g635767-d7995377,in rating,$$ - $$$,Mediterranean,13,20,0,Restaurants,https://www.facebook.com/pages/Regatta/878263012246042,"July 24, 2020",?????? ??????? ????? ,"Intro
?? ?? ?? ????????? ?? ?????? ????? ? ??????? ???? ?????
Page · Local business
Sveti Vlas, Bulgaria
+359 89 986 4806
Open now
Price Range · $$
Rating · 4.9 (66 Reviews)",2020,facebook,online,4.9,66,425,0.110774756409228,,
