"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","id_destination","status","price_category","top_tags","English","non-English","local","type","website","last_update","facebook_text","description","fb_last_update_year","website_type","website_status","fb_rating","fb_reviews","fb_followers","restaurant_link","rand","Open\Closed","Comment"
"g635766-d14102136","['Europe', 'Bulgaria', 'Burgas Province', 'Burgas', 'Burgas Restaurants', 'NORMA Restaurant & Garden']","NORMA Restaurant & Garden","Claimed",4,"August 2, 2022","Tsar Simeon I Street 1, Burgas 8000 Bulgaria",42.49273,27.480556,"#30 of 142 Restaurants in Burgas","#30 of 142 Restaurants in Burgas",61,0,,"₪22 - ₪217","European, Steakhouse, Seafood, International, Mediterranean","Dinner, Lunch","Vegetarian Friendly","Reservations, Seating, Serves Alcohol, Table Service","True","True",40,40,35,,37,7,3,4,10,"French (2), Greek (1), Norwegian (1), Polish (1), Portuguese (1), Spanish (1), English (41), Italian (2), Dutch (1), Hebrew (1), Russian (5), German (3), Finnish (1)","g635766-d14102136","in rating","$$ - $$$","Steakhouse, Seafood, International",41,20,0,"Restaurants","http://www.facebook.com/restaurantnorma",,,,0,"facebook","unavailable",,,0,"g635766-d14102136",0.183148418786004,"Open","Restaurant inside hotel, has been renamed"
"g209972-d1318072","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Armagh', 'Craigavon', 'Craigavon Restaurants', 'bamboo']","bamboo","Unclaimed",4,"November 9, 2022","78 Lurgan Road, Craigavon BT63 5QR Northern Ireland",54.435265,-6.41683,"#2 of 7 Quick Bites in Craigavon","#2 of 7 Quick Bites in Craigavon",35,0,0,,"Asian, Chinese","Dinner",,"Takeout, Delivery","True","True",45,40,40,45,18,7,3,1,6,"English (34), French (1)","g209972-d1318072","in rating","$$ - $$$","Quick Bites, Chinese, Asian",34,1,34,"Quick Bites",,,,,0,"no_website","no_website",,,0,"g209972-d1318072",0.046413638629019,"Open",
"g663130-d10514044","['Europe', 'Bulgaria', 'Burgas Province', 'Pomorie', 'Pomorie Restaurants', 'Bistro Omar']","Bistro Omar","Unclaimed",4,"August 18, 2022","Ulitsa Kraybrezhna, Pomorie 8200 Bulgaria",42.556164,27.648947,"#12 of 37 Restaurants in Pomorie","#6 of 11 Mediterranean in Pomorie",62,0,,,"Mediterranean","Lunch, Dinner, Brunch","Vegetarian Friendly","Reservations, Serves Alcohol, Table Service, Takeout, Seating, Highchairs Available","False","False",45,45,45,,32,14,4,5,7,"Slovak (1), Russian (32), German (1), Danish (1), French (3), Polish (5), English (19)","g663130-d10514044","in rating","$$ - $$$","Mediterranean, Vegetarian Friendly",19,43,0,"Restaurants",,,,,0,"no_website","no_website",,,0,"g663130-d10514044",0.640471525490284,"Open",
"g799606-d6475447","['Europe', 'Slovakia', 'Banska Bystrica Region', 'Zvolen', 'Zvolen Restaurants', 'Bistro Chef']","Bistro Chef","Claimed",4.5,"August 2, 2022","Nam. SNP 27, Zvolen 960 01 Slovakia",48.576237,19.125483,"#1 of 40 Restaurants in Zvolen","#1 of 40 Restaurants in Zvolen",152,0,,"₪13 - ₪127","Italian, Steakhouse, Mediterranean, Healthy","Lunch, Dinner, Late Night, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Wheelchair Accessible, Reservations, Outdoor Seating, Seating, Parking Available, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Credit Cards, Table Service, Free off-street parking, Gift Cards Available","True","True",50,45,45,45,120,20,3,5,4,"English (50), French (6), Danish (1), Polish (3), Spanish (5), Hungarian (1), Czech (3), Italian (4), German (5), Slovak (74)","g799606-d6475447","in rating","$$ - $$$","Italian, Steakhouse, Mediterranean",50,102,74,"Restaurants","http://www.bistrochef.sk",,,,0,"non-facebook","unavailable",,,0,"g799606-d6475447",0.595600427594036,"Open",
"g968424-d8352377","['Europe', 'Bulgaria', 'Plovdiv Province', 'Hissarya', 'Hissarya Restaurants', 'Toscana']","Toscana","Unclaimed",4.5,"August 28, 2022","Bul"" Gurko"" 13, Hissarya 4180 Bulgaria",42.50312,24.711168,"#2 of 10 Restaurants in Hissarya","#2 of 10 Restaurants in Hissarya",36,0,,,"Italian, Pizza","Dinner, Lunch","Vegetarian Friendly, Vegan Options","Seating, Serves Alcohol, Takeout, Reservations, Outdoor Seating, Wheelchair Accessible, Table Service","False","True",45,45,45,,21,10,4,0,1,"German (1), Russian (3), Turkish (1), English (31)","g968424-d8352377","in rating","$$ - $$$","Italian, Pizza, Vegetarian Friendly",31,5,0,"Restaurants",,,,,0,"no_website","no_website",,,0,"g968424-d8352377",0.763760620262474,"Open",
"g274929-d7018363","['Europe', 'Slovakia', 'Zilina Region', 'Liptovsky Mikulas', 'Liptovsky Mikulas Restaurants', 'Veronika']","Veronika","Unclaimed",4,"August 21, 2022","Namestie osloboditelov 6, Liptovsky Mikulas 031 01 Slovakia",49.08459,19.613396,"#4 of 6 Coffee & Tea in Liptovsky Mikulas","#4 of 6 Coffee & Tea in Liptovsky Mikulas",36,0,,,"Cafe",,,"Outdoor Seating, Takeout, Table Service","False","True",40,40,40,,9,17,6,2,2,"English (11), Russian (4), Polish (4), Czech (1), Spanish (1), Slovak (16)","g274929-d7018363","in rating","$$ - $$$","Dessert, Cafe",11,26,16,"Coffee & Tea",,,,,0,"no_website","no_website",,,0,"g274929-d7018363",0.634994925698265,,
"g736883-d4802167","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Warrenpoint', 'Warrenpoint Restaurants', 'The Balmoral Hotel']","The Balmoral Hotel","Unclaimed",4,"November 24, 2022","Shore Road, Warrenpoint Northern Ireland",54.099213,-6.248244,"#8 of 13 Restaurants in Warrenpoint","#8 of 13 Restaurants in Warrenpoint",71,0,0,,"Bar, British, Middle Eastern, Afghan, Arabic, Assyrian","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks",,"Reservations, Seating, Serves Alcohol, Table Service, Highchairs Available, Accepts American Express, Accepts Mastercard, Accepts Credit Cards, BYOB","True","False",40,45,40,40,44,11,6,4,6,"English (71)","g736883-d4802167","in rating","$$ - $$$","Bar, British, Middle Eastern",71,0,71,"Restaurants","http://www.restaurant23warrenpoint.com",,,,0,"non-facebook","unavailable",,,0,"g736883-d4802167",0.666301735211164,,
"g551730-d4749391","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Down', 'Ballywalter', 'Ballywalter Restaurants', 'The Square Diner']","The Square Diner","Unclaimed",4,"August 13, 2022","69-71 Main Street, Ballywalter BT22 2PJ Northern Ireland",54.544216,-5.485146,"#2 of 4 Restaurants in Ballywalter","#1 of 1 British in Ballywalter",43,0,0,,"British, Diner","Lunch, Brunch, Dinner",,"Seating, Highchairs Available, Wheelchair Accessible, Table Service, Takeout","False","True",45,40,40,,24,9,4,2,4,"English (43)","g551730-d4749391","in rating","$","British, Diner",43,0,43,"Restaurants",,,,,0,"no_website","no_website",,,0,"g551730-d4749391",0.372901899041608,,
"g209950-d7226892","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Antrim', 'Newtownabbey', 'Newtownabbey Restaurants', 'The Side Door Bistro Restaurant']","The Side Door Bistro Restaurant","Claimed",4.5,"July 2, 2022","335 Antrim Road, Newtownabbey BT36 5DZ Northern Ireland",54.67233,-5.95986,"#6 of 37 Restaurants in Newtownabbey","#6 of 37 Restaurants in Newtownabbey",77,0,0,,,"Lunch, Dinner, Brunch","Vegetarian Friendly, Gluten Free Options","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Table Service, Takeout","False","True",45,45,45,,59,9,4,2,3,"English (77)","g209950-d7226892","in rating","$$ - $$$","Vegetarian Friendly, Gluten Free Options",77,0,77,"Restaurants","http://www.facebook.com/pages/The-Side-Door/153439794807784",,,,0,"facebook","unavailable",,,0,"g209950-d7226892",0.275665618712082,,
"g189934-d2212731","['Europe', 'Finland', 'Uusimaa', 'Helsinki', 'Helsinki Restaurants', 'Tuk Tuk']","Tuk Tuk","Unclaimed",4.5,"June 26, 2022","Vaasankatu 19, Helsinki 00500 Finland",60.18831,24.956776,"#150 of 1,407 Restaurants in Helsinki","#150 of 1,407 Restaurants in Helsinki",89,0,0,,"Asian, Thai","Lunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Seating, Serves Alcohol, Table Service, Reservations","True","True",45,40,45,35,46,30,9,1,3,"Russian (4), English (63), Dutch (1), German (1), Finnish (19), Italian (1)","g189934-d2212731","in rating","$$ - $$$","Asian, Thai, Vegetarian Friendly",63,26,19,"Restaurants","http://www.facebook.com/Tuk-Tuk-thai-cuisine-105081149535550",,,,0,"facebook","unavailable",,,0,"g189934-d2212731",0.679595284163952,,
"g186482-d12166824","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Londonderry', 'Derry', 'Derry Restaurants', ""Gwyn's Cafe & Pavilion""]","Gwyn's Cafe & Pavilion","Unclaimed",4.5,"September 26, 2022","Brookdale Park, Derry BT48 0HH Northern Ireland",55.00104,-7.331346,"#1 of 27 Quick Bites in Derry","#1 of 27 Quick Bites in Derry",49,0,0,,"Cafe","Breakfast, Lunch, Brunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Free Wifi","True","True",45,45,45,,39,4,4,2,0,"English (49)","g186482-d12166824","in rating","$","Quick Bites, Cafe, Vegetarian Friendly",49,0,49,"Quick Bites","https://www.facebook.com/gwynspavillion/",,"no_posts","About
See all
Gwyn's Cafe & Pavilion Brooke Park is a family friendly cafe which has a great park for the kids and offers stunning views of the City
1 person likes this
1 person follows this
+44 28 7136 3372
Price range
  · $
Restaurant · Coffee shop · Park",0,"facebook","online",,,0,"g186482-d12166824",0.757636603666469,,
"g209963-d4039688","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Londonderry', 'Portstewart', 'Portstewart Restaurants', 'The New York Grill Bar']","The New York Grill Bar","Claimed",3.5,"September 20, 2022","2 Station Road The York, Portstewart BT55 7DA Northern Ireland",55.187843,-6.712788,"#8 of 11 Restaurants in Portstewart","#6 of 13 British in Portstewart",461,0,0,,"European, British, Grill","Breakfast, Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly, Gluten Free Options","Reservations, Outdoor Seating, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Free off-street parking, Wine and Beer, Live Music","True","True",40,35,40,,208,88,55,40,70,"English (457), Italian (1), German (1), French (1), Spanish (1)","g209963-d4039688","in rating","$$ - $$$","European, British, Grill",457,4,457,"Restaurants","http://www.newyorkportstewart.com",,,,0,"non-facebook","unavailable",,,0,"g209963-d4039688",0.109322281321511,,
"g499086-d5062579","['Europe', 'Bulgaria', 'Burgas Province', 'Sunny Beach', 'Sunny Beach Restaurants', 'Marvel Hotel Restaurant']","Marvel Hotel Restaurant","Unclaimed",3.5,"September 12, 2022","Marvel Hotel, Sunny Beach Bulgaria",42.707607,27.723913,"#79 of 180 Restaurants in Sunny Beach","#10 of 20 Steakhouse in Sunny Beach",160,0,,,"Steakhouse, Bar, Pub","Dinner, Breakfast, Lunch",,"Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Highchairs Available, Live Music","False","False",35,35,35,30,49,37,36,10,28,"Finnish (2), Polish (2), Swedish (1), Dutch (5), Russian (17), English (126), Norwegian (7)","g499086-d5062579","in rating","$$ - $$$","Steakhouse, Bar, Pub",126,34,0,"Restaurants",,,,,0,"no_website","no_website",,,0,"g499086-d5062579",0.863495198544115,,
"g186470-d3356803","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Fed & Watered']","Fed & Watered","Claimed",3.5,"December 6, 2022","66 Donegall Quay, Belfast BT1 3NL Northern Ireland",54.60238,-5.92182,"#419 of 689 Restaurants in Belfast","#136 of 171 Irish in Belfast",85,0,0,,"Irish, Cafe, British","Breakfast, Lunch","Vegetarian Friendly","Seating, Highchairs Available, Wheelchair Accessible, Takeout, Outdoor Seating","True","True",40,40,35,45,34,21,8,5,17,"English (85)","g186470-d3356803","in rating","$$ - $$$","Irish, Cafe, British",85,0,85,"Restaurants","https://www.facebook.com/pg/fedandwateredbelfast/about/?ref=page_internal","October 28, 2016","Happy Halloween to all our customers.","Intro
Fed & Watered Bistro - providing you with fresh locally sourced Northern Irish food served in a rela
Page · Restaurant
+44 28 9023 1723
some@email.com
mountcharles.com
Closed now
Outdoor seating
Price Range · $$
Rating · 2.9 (68 Reviews)",2016,"facebook","online",2.9,68,739,"g186470-d3356803",0.540602097054943,,
"g274929-d8828401","['Europe', 'Slovakia', 'Zilina Region', 'Liptovsky Mikulas', 'Liptovsky Mikulas Restaurants', 'Via Jasna']","Via Jasna","Unclaimed",3.5,"May 27, 2022","Demanova 492, Liptovsky Mikulas 031 01 Slovakia",49.06075,19.584728,"#18 of 46 Restaurants in Liptovsky Mikulas","#18 of 46 Restaurants in Liptovsky Mikulas",51,0,,,"Pizza","Breakfast",,"Seating, Wheelchair Accessible, Table Service, Reservations","False","True",35,35,35,,20,13,9,2,7,"English (10), Czech (7), Russian (2), Polish (15), German (1), Slovak (16)","g274929-d8828401","in rating","$$ - $$$","Pizza",10,41,16,"Restaurants","http://www.viajasna.eu/index.php?lng=sk&page=restauraciabar",,,,0,"non-facebook","unavailable",,,0,"g274929-d8828401",0.481666619889438,,
"g315777-d10094681","['Europe', 'Finland', 'Uusimaa', 'Porvoo', 'Porvoo Restaurants', 'Restaurant El Patio']","Restaurant El Patio","Claimed",3.5,"July 24, 2022","Kirkkokatu 4, Porvoo 06100 Finland",60.39525,25.660875,"#18 of 57 Restaurants in Porvoo","#1 of 1 Spanish in Porvoo",93,0,0,"₪17 - ₪155","Spanish, European","Dinner, Drinks","Vegetarian Friendly","Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Wine and Beer, Table Service, Takeout, Highchairs Available, Gift Cards Available","True","True",40,40,35,,38,25,9,10,11,"Swedish (4), Russian (1), Finnish (49), English (37), Spanish (1), German (1)","g315777-d10094681","in rating","$$ - $$$","European, Spanish, Vegetarian Friendly",37,56,49,"Restaurants","http://www.elpatio.fi",,,,0,"non-facebook","unavailable",,,0,"g315777-d10094681",0.72487724898383,,
"g226906-d10075511","['Europe', 'Finland', 'Uusimaa', 'Vantaa', 'Vantaa Restaurants', 'Sushilounge']","Sushilounge","Claimed",4.5,"March 19, 2022","Ratakuja 1 Opposite Tikkurila bus terminal at Ratatie, Vantaa 01300 Finland",60.29404,25.04374,"#3 of 166 Restaurants in Vantaa","#3 of 166 Restaurants in Vantaa",130,0,0,"₪43 - ₪129","Japanese, Seafood, Sushi","Lunch, Dinner, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Validated Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Table Service","True","True",50,45,45,,99,25,1,2,3,"Russian (4), Finnish (75), English (49), Dutch (1), Italian (1)","g226906-d10075511","in rating","$$ - $$$","Japanese, Seafood, Sushi",49,81,75,"Restaurants","http://www.sushilounge.fi",,,,0,"non-facebook","unavailable",,,0,"g226906-d10075511",0.915897073457018,,
"g186470-d1735268","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'The Elk Inn']","The Elk Inn","Claimed",3.5,"July 27, 2022","793 Upper Newtownards Road Dundonald, Belfast BT16 2RE Northern Ireland",54.59464,-5.81588,"#373 of 689 Restaurants in Belfast","#79 of 109 Bar in Belfast",118,0,0,"₪24 - ₪97","Bar, British, Pub","Lunch, Dinner, Late Night, Drinks",,"Outdoor Seating, Parking Available, Highchairs Available, Serves Alcohol, Reservations, Seating, Full Bar, Free Wifi, Wheelchair Accessible, Table Service","True","True",35,35,35,35,42,28,16,16,16,"English (117), French (1)","g186470-d1735268","in rating","$$ - $$$","Bar, British, Pub",117,1,117,"Restaurants","http://www.theelkbar.com",,,,0,"non-facebook","unavailable",,,0,"g186470-d1735268",0.347664362750947,,
"g189951-d2636347","['Europe', 'Finland', 'Ostrobothnia', 'Vaasa', 'Vaasa Restaurants', 'Kaavya Cuisine']","Kaavya Cuisine","Unclaimed",4,"August 25, 2022","Vaasanpuistikko 17, Vaasa Finland",63.09612,21.619146,"#10 of 77 Restaurants in Vaasa","#10 of 77 Restaurants in Vaasa",81,0,0,,"Indian, Asian","Lunch, Dinner","Vegetarian Friendly, Vegan Options","Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Table Service, Delivery","False","True",45,45,35,35,35,30,12,2,2,"English (56), Spanish (1), Finnish (10), Swedish (12), French (1), Italian (1)","g189951-d2636347","in rating","$$ - $$$","Indian, Asian, Vegetarian Friendly",56,25,10,"Restaurants","http://www.kaavyacuisine.com",,,,0,"non-facebook","unavailable",,,0,"g189951-d2636347",0.521522540133446,,
"g186470-d7186374","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Falafel']","Falafel","Claimed",4.5,"February 1, 2022","9 Botanic Avenue, Belfast BT7 1JG Northern Ireland",54.589127,-5.933658,"#146 of 689 Restaurants in Belfast","#1 of 4 Moroccan in Belfast",164,0,0,,"Lebanese, Moroccan, Middle Eastern, Mediterranean","Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Delivery, Takeout, Seating, Highchairs Available, Wheelchair Accessible, Free Wifi, Table Service, Reservations","True","True",45,45,45,35,109,29,10,6,10,"Italian (1), English (155), French (3), Portuguese (1), Spanish (2), German (2)","g186470-d7186374","in rating","$","Lebanese, Moroccan, Mediterranean",155,9,155,"Restaurants","https://www.facebook.com/falafelbotanic","July 21, 2020",,"Intro
New Middle Eastern cafe on Botanic Avenue. Visit us today!
Page · Cafe
9 Botanic Avenue, Belfast, United Kingdom
+44 7397 826375
some@email.com
just-eat.co.uk/restaurants-falafel-cuisine/menu
Closed now
Outdoor seating
Price Range · $
Rating · 4.6 (167 Reviews)",2020,"facebook","online",4.6,167,1900,"g186470-d7186374",0.66407448402606,,
