"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","id_destination","status","price_category","top_tags","English","non-English","local","type","last_update","facebook_text","description","fb_last_update_year","website_type","website_status","fb_rating","fb_reviews","fb_followers","website","rand","Closed-open","comment"
"g274924-d2332759","['Europe', 'Slovakia', 'Bratislava Region', 'Bratislava', 'Bratislava Restaurants', 'Brasserie Anjou']","Brasserie Anjou","Claimed",4.5,"March 30, 2019","Pribinova 12 Eurovea, Bratislava 811 09 Slovakia",48.140358,17.123163,"#134 of 1,028 Restaurants in Bratislava","#23 of 91 International in Bratislava",54,0,,"₪64 - ₪181","International, European, Central European","Breakfast, Lunch",,"Reservations, Seating, Serves Alcohol, Wheelchair Accessible, Table Service","True","True",45,45,40,40,39,8,4,2,1,"Slovak (5), German (6), English (43)","g274924-d2332759","in rating","$$$$","International, European, Central European",43,11,5,"Restaurants",,,,0,"non-facebook","online",,,0,"http://www.marriott.com/hotels/hotel-information/restaurant/btssi-sheraton-bratislava-hotel/",0.92253072722815,"Open",
"g189908-d12448174","['Europe', 'Finland', 'Northern Savonia', 'Kuopio', 'Kuopio Restaurants', 'Container restaurant Morton']","Container restaurant Morton","Claimed",4,"July 12, 2021","Haapaniemenkatu 20 Kauppakeskus H-talon edusta, Kuopio 70110 Finland",62.891563,27.676928,"#17 of 92 Restaurants in Kuopio","#2 of 4 Street Food in Kuopio",43,0,0,"₪26 - ₪107","Street Food, American, International","Lunch, Dinner, Late Night, Drinks",,"Takeout, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Delivery, Highchairs Available, Wine and Beer, Dog Friendly, Family style, Gift Cards Available","False","True",40,40,35,,19,14,8,1,1,"Finnish (30), English (13)","g189908-d12448174","in rating","$$ - $$$","American, International, Street Food",13,30,30,"Restaurants",,,,0,"non-facebook","online",,,0,"http://morton.fi/kuopio/",0.992949567968026,"Open","temporarily closed "
"g499086-d3183315","['Europe', 'Bulgaria', 'Burgas Province', 'Sunny Beach', 'Sunny Beach Restaurants', 'Bistro-Garden Condor']","Bistro-Garden Condor","Unclaimed",4,"July 31, 2020","Main Road - next to Post Office, Sunny Beach Bulgaria",42.69298,27.708857,"#38 of 180 Restaurants in Sunny Beach","#34 of 89 European in Sunny Beach",307,0,,,"Bar, Central European, European","Breakfast, Dinner, Brunch, Lunch, Late Night","Vegetarian Friendly","Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Table Service, Full Bar","False","True",40,40,40,40,129,81,30,31,36,"Slovak (1), Czech (1), Polish (10), German (5), Russian (76), Italian (3), English (199), Serbian (1), Danish (2), French (3), Dutch (3), Norwegian (2), Finnish (1)","g499086-d3183315","in rating","$$ - $$$","Bar, European, Central European",199,108,0,"Restaurants",,,,0,"non-facebook","online",,,0,"http://restaurant.bg/eng/restoranti/bistro-garden-condor-sunny-beach-227",0.126320229610428,"Open","Looks like was closed for a long time. On google there is a gap of more than a year without comments."
"g189934-d9562891","['Europe', 'Finland', 'Uusimaa', 'Helsinki', 'Helsinki Restaurants', 'Izakaya']","Izakaya","Unclaimed",4,"March 14, 2020","Runeberginkatu 55B, Helsinki 00260 Finland",60.179577,24.923813,"#257 of 1,407 Restaurants in Helsinki","#257 of 1,407 Restaurants in Helsinki",43,0,0,,"Japanese, Asian, Spanish","Dinner, Lunch","Vegetarian Friendly, Vegan Options","Reservations, Seating, Serves Alcohol, Table Service","False","True",45,40,40,,20,14,7,2,0,"English (24), Finnish (17), French (1), Italian (1)","g189934-d9562891","in rating","$$ - $$$","Japanese, Spanish, Asian",24,19,17,"Restaurants",,,,0,"non-facebook","online",,,0,"http://www.izakaya.fi/",0.858904730528593,"Closed","Took time to check. But it looks like closed as no recent comments on google.maps also/"
"g551726-d4721262","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Antrim', 'Ballymena', 'Ballymena Restaurants', 'The Spinning Mill']","The Spinning Mill","Claimed",3.5,"February 27, 2020","17-21 Broughshane Street, Ballymena BT43 6EB Northern Ireland",54.866997,-6.273219,"#36 of 65 Restaurants in Ballymena","#26 of 36 British in Ballymena",82,0,0,"₪19 - ₪49","Pub, Bar, British","Breakfast, Lunch, Dinner, Drinks",,"Seating, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Accepts Credit Cards","True","True",35,35,40,35,25,20,11,6,20,"German (1), Polish (1), English (80)","g551726-d4721262","in rating","$","Bar, British, Pub",80,2,80,"Restaurants",,,,0,"non-facebook","online",,,0,"http://www.Grannyannies.co.uk",0.30692488886416,"Closed","Was renamed and then even a new restaurant closed"
"g274929-d8494293","['Europe', 'Slovakia', 'Zilina Region', 'Liptovsky Mikulas', 'Liptovsky Mikulas Restaurants', 'Aurelica coffee']","Aurelica coffee","Claimed",5,"July 30, 2021","Namestie Osloboditelov 7, Liptovsky Mikulas 031 01 Slovakia",49.08456,19.614223,"#1 of 6 Coffee & Tea in Liptovsky Mikulas","#1 of 6 Coffee & Tea in Liptovsky Mikulas",76,0,,,"Cafe","Breakfast",,"Wheelchair Accessible","True","True",50,50,50,,70,5,0,1,0,"Czech (11), Hebrew (1), Russian (1), German (1), English (24), Danish (1), Serbian (1), Polish (7), Slovak (29)","g274929-d8494293","in rating","$","Cafe",24,52,29,"Coffee & Tea","October, 2023","Dnes má meniny Aurel a tak oslavujeme meniny aj my keďže iných Aurelov nepoznáme 
 Inak vedeli ste, že meno Aurel vzniklo odvodením z latinského Aurum, ktoré poznáte pod stratou Au a znamená zlato. Vo voľnom preklade je Aurel zlatý / zlatučký. 
A keďže Aurelica coffee je žena asi bude najzlatšia 
 … See more","Intro
Aurelica, je káva zo srdca Liptova. Stačí sa nadýchnuť a Váš nos Vás určite dovedie až pred naše dver
Page · Coffee shop
Nám. Osloboditeľov 68/7, Liptovsky Mikulas, Slovakia
+421 949 672 608
some@email.com
aurelica.coffee
Open now
In-store pickup
Price Range · $
Rating · 4.9 (193 Reviews)",2023,"facebook","online",4.9,193,4900,"https://www.facebook.com/aurelicacoffee",0.103207152569667,"Open",
"g274932-d9562906","['Europe', 'Slovakia', 'Kosice Region', 'Michalovce', 'Michalovce Restaurants', 'Zemplinska Restauracia']","Zemplínska Reštaurácia","Claimed",4,"August 21, 2021","S.H. Vajanskeho 6580/63A, Michalovce 071 01 Slovakia",48.75574,21.897448,"#2 of 16 Restaurants in Michalovce","#2 of 16 Restaurants in Michalovce",90,0,,"₪21 - ₪339","European, Eastern European, Central European, International","Breakfast, Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options","Reservations, Outdoor Seating, Seating, Parking Available, Free off-street parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Table Service, Takeout, Gift Cards Available","True","True",45,45,45,,52,16,14,5,3,"Portuguese (1), Russian (2), Swedish (1), Dutch (2), German (4), Czech (5), English (19), Danish (1), Slovak (46), Italian (2), Polish (7)","g274932-d9562906","in rating","$$ - $$$","International, European, Eastern European",19,71,46,"Restaurants",,,,0,"non-facebook","online",,,0,"http://www.zemplinskarestauracia.sk",0.752307647606358,"Open",
"g294452-d4103070","['Europe', 'Bulgaria', 'Sofia Region', 'Sofia', 'Sofia Restaurants', 'Bodega Tapas & Wine']","Bodega Tapas & Wine","Claimed",3.5,"January 29, 2019","ul.Akad. Boris Stefanov 17, Sofia 1700 Bulgaria",42.649605,23.341942,"#392 of 1,226 Restaurants in Sofia","#392 of 1,226 Restaurants in Sofia",88,0,,,"Mediterranean, European, Spanish","Lunch",,"Seating, Serves Alcohol, Reservations, Full Bar, Table Service","False","True",35,40,35,40,23,26,21,9,9,"Greek (1), Spanish (12), English (44), Dutch (2), Portuguese (2), French (5), Russian (4), Italian (14), German (3), Turkish (1)","g294452-d4103070","in rating","$$ - $$$","Mediterranean, European, Spanish",44,44,0,"Restaurants",,,,0,"non-facebook","online",,,0,"http://www.bodega.bg",0.185984767973423,"Closed","Site is offline, nothing on google maps."
"g186470-d5430318","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'CT15 Cafe Bistro']","CT15 Cafe Bistro","Claimed",4.5,"December 7, 2020","Jill House 502 Antrim Road, Belfast BT15 5GF Northern Ireland",54.630898,-5.938788,"#209 of 689 Restaurants in Belfast","#209 of 689 Restaurants in Belfast",69,0,0,,"Irish, Cafe, European","Breakfast, Lunch, Brunch, Dinner","Gluten Free Options, Vegetarian Friendly, Vegan Options","Takeout, Reservations, Seating, Highchairs Available, Table Service, Wheelchair Accessible","True","True",45,45,45,40,47,13,8,0,1,"English (69)","g186470-d5430318","in rating","$$ - $$$","Irish, Cafe, European",69,0,69,"Restaurants",,,,0,"non-facebook","online",,,0,"http://www.ct15.net",0.021763832774013,"Open",
"g2337222-d4770068","['Europe', 'Slovakia', 'Bratislava Region', 'Modra', 'Modra Restaurants', 'Furmanska Krcma']","Furmanska Krcma","Claimed",3.5,"October 15, 2021","Piesok 4015/B7, Modra 900 01 Slovakia",48.381046,17.277779,"#14 of 18 Restaurants in Modra","#4 of 5 Central European in Modra",63,0,,,"Eastern European, Central European, European","Lunch, Dinner",,"Reservations, Seating, Serves Alcohol, Table Service","True","True",35,30,30,,17,15,12,8,11,"English (29), Russian (1), Czech (4), German (2), Slovak (27)","g2337222-d4770068","in rating","$$ - $$$","European, Eastern European, Central European",29,34,27,"Restaurants",,,,0,"non-facebook","online",,,0,"http://www.hotelzochovachata.sk/en/furmanska-krcma",0.280777480686083,"Open",
"g189949-d809341","['Europe', 'Finland', 'Southwest Finland', 'Turku', 'Turku Restaurants', 'China Thai Palace']","China Thai Palace","Claimed",4,"June 23, 2020","Kauppiaskatu 1A1, Turku 20100 Finland",60.4522,22.26819,"#82 of 297 Restaurants in Turku","#6 of 14 Sushi in Turku",42,0,0,"₪43 - ₪94","Chinese, Sushi, Asian, Thai","Lunch, Brunch, Drinks","Vegetarian Friendly","Takeout, Seating, Serves Alcohol, Reservations, Buffet, Table Service","True","True",40,40,35,,8,24,5,3,2,"Russian (2), Swedish (2), Finnish (11), English (27)","g189949-d809341","in rating","$$ - $$$","Chinese, Sushi, Asian",27,15,11,"Restaurants",,,,0,"non-facebook","online",,,0,"http://chinathai.fi/wp",0.655600131722167,"Open",
"g644065-d6561010","['Europe', 'Bulgaria', 'Pazardzhik Province', 'Velingrad', 'Velingrad Restaurants', 'Rodopsko Selo']","Rodopsko Selo","Unclaimed",3.5,"February 14, 2020","Soedinenie blvd 49, Velingrad 4600 Bulgaria",42.014698,23.9873,"#15 of 19 Restaurants in Velingrad","#9 of 9 European in Velingrad",80,0,,,"Barbecue, Eastern European, European","Lunch, Dinner","Vegetarian Friendly","Reservations, Outdoor Seating, Seating, Serves Alcohol, Takeout, Highchairs Available, Table Service","False","True",40,35,40,,25,20,13,10,12,"Turkish (2), Italian (1), German (1), Greek (2), Serbian (1), Russian (27), English (46)","g644065-d6561010","in rating","$$ - $$$","Barbecue, European, Eastern European",46,34,0,"Restaurants","October, 2023","Para disfrutar en familia y entre amigos, decoración increíble, el mejor ambiente todo empieza ahora!","Intro
Elaboramos exquisitos platos de una manera sana y saludable
Page · Barbecue Restaurant
Av Amazonas 251 y Olmedo , Tena, Ecuador
+593 6-288-6513
Always open
Outdoor seating · In-store pickup
Rating · 5.0 (5 Reviews)",2023,"facebook","online",5,5,1100,"http://www.facebook.com/TheMarquisTena/",0.926435482688248,"Closed","URL leads to cafe in Ecuador. At least temporarily closed."
"g1602209-d5481080","['Europe', 'Slovakia', 'Bratislava Region', 'Slovensky Grob', 'Slovensky Grob Restaurants', 'U Zlatej Husi']","U Zlatej Husi","Claimed",4.5,"October 17, 2020","Pezinska 2, Slovensky Grob 900 26 Slovakia",48.256676,17.264088,"#2 of 11 Restaurants in Slovensky Grob","#2 of 9 European in Slovensky Grob",72,0,,,"European, Central European, Eastern European","Lunch, Dinner","Vegetarian Friendly","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Table Service","True","True",45,45,40,,43,15,6,6,2,"Russian (2), French (1), Czech (5), Spanish (1), Serbian (1), English (26), Italian (4), German (5), Slovak (27)","g1602209-d5481080","in rating","$$$$","European, Eastern European, Central European",26,46,27,"Restaurants",,,,0,"non-facebook","online",,,0,"http://www.zlatahus.sk",0.939543533604592,"Open",
"g982822-d4209816","['Europe', 'Slovakia', 'Presov Region', 'Strbske Pleso', 'Strbske Pleso Restaurants', 'Restaurant Crocus']","Restaurant Crocus","Unclaimed",4,"August 5, 2020","Strbske Pleso 4078/78, Strbske Pleso Slovakia",49.118877,20.063034,"#6 of 15 Restaurants in Strbske Pleso","#6 of 15 Restaurants in Strbske Pleso",58,0,,,"International, Central European","Breakfast, Lunch, Dinner",,"Reservations, Seating, Wheelchair Accessible, Table Service","False","True",45,40,45,,29,18,4,5,2,"English (16), Hebrew (1), Polish (1), Czech (8), Russian (5), Spanish (1), Slovak (23), German (3)","g982822-d4209816","in rating","$$ - $$$","International, Central European",16,42,23,"Restaurants",,,,0,"non-facebook","online",,,0,"http://www.hotel-crocus.eu/sk/restauracia",0.834210830740631,"Open",
"g2541754-d5008640","['Europe', 'Slovakia', 'Zilina Region', 'Liptovska Sielnica', 'Liptovska Sielnica Restaurants', 'Villa Betula Resort Restaurant']","Villa Betula Resort Restaurant","Claimed",4,"January 2, 2020","Brnice 166, Liptovska Sielnica 032 23 Slovakia",49.13618,19.511372,"#1 of 2 Restaurants in Liptovska Sielnica","#1 of 1 Central European in Liptovska Sielnica",51,0,,"₪21 - ₪210","European, Central European","Lunch, Dinner, Breakfast",,"Outdoor Seating, Seating, Highchairs Available, Reservations, Table Service","True","True",45,40,35,,26,8,10,4,3,"English (18), Polish (2), Russian (3), Slovak (24), Italian (1), Czech (3)","g2541754-d5008640","in rating","$$ - $$$","European, Central European",18,33,24,"Restaurants",,,,0,"non-facebook","online",,,0,"http://www.villabetula.sk/en/restauracia",0.116927998373285,"Open",
"g499086-d8371947","['Europe', 'Bulgaria', 'Burgas Province', 'Sunny Beach', 'Sunny Beach Restaurants', 'Bistro Olymp']","Bistro Olymp","Unclaimed",3.5,"March 9, 2021","Hotel Olymp, Sunny Beach 8240 Bulgaria",42.6899,27.711058,"#93 of 180 Restaurants in Sunny Beach","#13 of 20 Steakhouse in Sunny Beach",62,0,,,"Steakhouse, Pizza, Seafood","Lunch, Dinner",,"Outdoor Seating, Serves Alcohol, Reservations, Seating, Highchairs Available, Table Service","False","True",40,40,40,,26,9,12,5,10,"Slovak (1), Swedish (1), Dutch (1), English (38), German (7), Russian (9), Hebrew (1), Finnish (2), Norwegian (2)","g499086-d8371947","in rating","$$ - $$$","Steakhouse, Pizza, Seafood",38,24,0,"Restaurants","September 20, 2023","Dear Mark Stewart,
We wanted to express our gratitude for visiting us. Your company was delightful, and we hope to see you again soon. Thank you so much! It was a pleasure to have you as our guest. ","Intro
Welcome to Bistro Olymp!
Page · European Restaurant
Hotel Olymp, Nesebur, Bulgaria
Open now
Outdoor seating
Price Range · $$
Rating · 4.4 (122 Reviews)",2023,"facebook","online",4.4,122,407,"http://www.facebook.com/bistroolymp/",0.48669428541325,"Open",
"g551726-d7350895","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'County Antrim', 'Ballymena', 'Ballymena Restaurants', 'Caffe Nero']","Caffe Nero","Unclaimed",4,"February 20, 2021","Unit 35 Fairhill Shopping Centre, Ballymena BT43 6UF Northern Ireland",54.86861,-6.27691,"#7 of 22 Quick Bites in Ballymena","#7 of 22 Quick Bites in Ballymena",28,0,0,,"Cafe","Breakfast, Lunch, Dinner",,"Takeout, Wheelchair Accessible, Seating","True","True",35,35,30,,12,7,6,2,1,"English (28)","g551726-d7350895","in rating","$","Quick Bites, Cafe",28,0,28,"Quick Bites",,,,0,"non-facebook","online",,,0,"http://www.caffenero.co.uk",0.4212763865944,"Open",
"g186470-d4274838","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Bithika']","Bithika","Claimed",3,"October 5, 2020","133 Lisburn Road, Belfast BT9 7AG Northern Ireland",54.58381,-5.944231,"#615 of 689 Restaurants in Belfast","#39 of 41 Indian in Belfast",35,0,0,,"Fast Food, Indian","Dinner, Brunch","Vegetarian Friendly, Halal","Delivery, Takeout, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Accepts Credit Cards, Drive Thru","True","True",30,25,25,,11,6,1,3,14,"English (35)","g186470-d4274838","in rating","$","Indian, Fast Food, Vegetarian Friendly",35,0,35,"Restaurants","October 15 , 2023","Are you ready for an outstanding foodie experience? 
 Visit our BRANDED website at www.bithika.co.uk/ordering to place an order and enjoy an exclusive 20% OFF on every online order.
.
.
.… See more","Intro
Best Indian Takeaway in Belfast BT9 Serving a wide range of Indian cuisine, including Tandoori, Hous
Page · Indian Restaurant
133 Lisburn Road, Belfast, United Kingdom
+44 28 9038 1009
some@email.com
bithika.co.uk
Closing Soon
Price Range · $$
Not yet rated (4 Reviews)",2023,"facebook","online",,4,246,"https://www.facebook.com/BithikaIndianTakeaway",0.579671616200358,"Open",
